Year,ExtendingAgencyText,BEISDepartment,Cross-GovernmentFundSpendingAgency,ActivityIdentifier,RecipientCountryText,RecipientCountryCode,RegionText,IncomeGroup,ChannelofDelivery,ChannelCode,ChannelParent,SIDBiMultiBreakdown,TypeofFinance,TypeofAidCode,TypeofAidText,ProjectTitle,SectorPurposeCode(CRScode),SectorPurposeText,BroadSectorCode,SIDsector,%sector,LongDescription,AmountsExtended,AmountsReceived,HeadlineMeasureofODA(£thousands)
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,GCRF-RAEInCCARE-ChtSd-APCARE,"Africa, regional",298,Africa,Part I unallocated by income,Donor country-based NGO,22000,22000,Other bilateral,110,E01,Scholarships/training in donor country,Africa Prize for Engineering Innovation - Project CARE - Cohort Support Spend,43081,Multisector education/training,430,Multisector / Cross-Cutting,100,"Spend on shared support for Africa Prize CARE award holders. Project CARE aims to support African Engineering entrepreneurs to make and supply PPE which is effectively used in hospitals and clinics in sub-Saharan Africa, as well as to respond to other COVID-related challenges in their communities.",544.44814,0,544.44814
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,GCRF-RAECAP-1920-6-APEI19_20_F\10,Ghana,241,Africa,LMICs,Other,90000,90000,Other bilateral,110,E01,Scholarships/training in donor country,Africa Prize for Engineering Innovation,32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,"The Africa Prize for Engineering Innovation alumni programme supports the innovators who have been through the Africa Prize to create sustainable businesses that can transform the lives of millions of people in sub-Saharan Africa, through capacity building, access to new networks and focused grants. This award supports an innovator in Kenya and her business BACE API. ",25,0,25
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,GCRF-RAECAP-1920-6-APEI19_20_F\7,Nigeria,261,Africa,LMICs,Other,90000,90000,Other bilateral,110,E01,Scholarships/training in donor country,Africa Prize for Engineering Innovation,32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,"The Africa Prize for Engineering Innovation alumni programme supports the innovators who have been through the Africa Prize to create sustainable businesses that can transform the lives of millions of people in sub-Saharan Africa, through capacity building, access to new networks and focused grants. This award supports an innovator in Nigeria and her business Farmz2U. ",10,0,10
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,GCRF-RAECAP-ChtSd-AP,"South of Sahara, regional",289,Africa,Part I unallocated by income,Donor country-based NGO,22000,22000,Other bilateral,110,E01,Scholarships/training in donor country,Africa Prize for Engineering Innovation - Cohort Support Spend,43081,Multisector education/training,430,Multisector / Cross-Cutting,100,"Spend on shared activities for Africa Prize entrepreneurial innovators. By focusing on building engineering capacity in SSA, this programme will have a primary focus on some of the poorest countries in the developing world and will help stengthen their resilience and reponse to crisis and help promote global prosperity.",269.2711,0,269.2711
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,GCRF-RAEInCAPA-ChtSd-APA,"South of Sahara, regional",289,Africa,Part I unallocated by income,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,Africa Prize for Engineering Innovation Alumni - Cohort Support Spend,43010,Multisector aid,430,Multisector / Cross-Cutting,100,"Spend on shared support for Africa Prize Alumni award holders. The Africa Prize for Engineering Innovation alumni programme supports the innovators who have been through the Africa Prize to create sustainable businesses that can transform the lives of millions of people in sub-Saharan Africa, through capacity building, access to new networks and focused grants.",685.54985,0,685.54985
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,GCRF-RAECAP-1920-6-APEI19_20_F\1,Uganda,285,Africa,LDCs,Other,90000,90000,Other bilateral,110,E01,Scholarships/training in donor country,Africa Prize for Engineering Innovation,32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,"The Africa Prize for Engineering Innovation alumni programme supports the innovators who have been through the Africa Prize to create sustainable businesses that can transform the lives of millions of people in sub-Saharan Africa, through capacity building, access to new networks and focused grants. This award supports an innovator in Uganda and his business Remot. ",10,0,10
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,GCRF-RAECAP-1920-6-APEI19_20_F\9,Uganda,285,Africa,LDCs,Other,90000,90000,Other bilateral,110,E01,Scholarships/training in donor country,Africa Prize for Engineering Innovation,32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,"The Africa Prize for Engineering Innovation alumni programme supports the innovators who have been through the Africa Prize to create sustainable businesses that can transform the lives of millions of people in sub-Saharan Africa, through capacity building, access to new networks and focused grants. This award supports an innovator in Uganda and his business PapsAI. ",10,0,10
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCEGPhDP-252,Egypt,142,Africa,LMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,PhD Scholorship Programme Call June 2019,43081,Multisector education/training,430,Multisector / Cross-Cutting,100,The programme aims to develop individual capacity of scholars through PhD placements at a partner institution in areas relevant to development challenges. The PhD placements awarded focus on research areas which have been identified at the country level as important for working towards development priorities.,1269.5712,0,1269.5712
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCINPhDP-283,India,645,Asia,LMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,PhD Placement 2020,11430,Advanced technical and managerial training,114,Education,100,PhD placements between the UK and India of up to four months duration in STEM areas.,14.92844,0,14.92844
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCINPhDP-260,India,645,Asia,LMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,PhD Placement June 2018-19,43081,Multisector education/training,430,Multisector / Cross-Cutting,100,The programme aims to develop individual capacity of scholars through PhD placements in areas relevant to development challenges. Students spend 24 months at a partner institution. The PhD placements awarded focus on research areas which have been identified at the country level as important for working towards development priorities.,15.797,0,15.797
