Year,ExtendingAgencyText,BEISDepartment,Cross-GovernmentFundSpendingAgency,ActivityIdentifier,RecipientCountryText,RecipientCountryCode,RegionText,IncomeGroup,ChannelofDelivery,ChannelCode,ChannelParent,SIDBiMultiBreakdown,TypeofFinance,TypeofAidCode,TypeofAidText,ProjectTitle,SectorPurposeCode(CRScode),SectorPurposeText,BroadSectorCode,SIDsector,%sector,LongDescription,AmountsExtended,AmountsReceived,HeadlineMeasureofODA(£thousands)
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCINPhDP-261,India,645,Asia,LMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,PhD Placement June 2018-19,43081,Multisector education/training,430,Multisector / Cross-Cutting,100,The programme aims to develop individual capacity of scholars through PhD placements in areas relevant to development challenges. Students spend 24 months at a partner institution. The PhD placements awarded focus on research areas which have been identified at the country level as important for working towards development priorities.,23.156,0,23.156
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCINRLWG-287,India,645,Asia,LMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Researcher Links Workshop 2019,11430,Advanced technical and managerial training,114,Education,100,Grants for workshops in priority research areas defined at a country level to share  research and establish relationships for longer term collaboration. Grants are awarded via open call to joint proposals ( UK and partner country). Early career researchers are participants in the workshops.,31.5,0,31.5
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCINPhDP-281,India,645,Asia,LMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,PhD Placement July 2019,11430,Advanced technical and managerial training,114,Education,100,PhD placements between the UK and India of up to four months duration in STEM areas.,707.36878,0,707.36878
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCIDPhDP-302,Indonesia,738,Asia,LMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Well-trained human resources will allow Indonesia to make efficient use of its marine and maritime potential through research & innovation,43081,Multisector education/training,430,Multisector / Cross-Cutting,100,The programme aims to develop individual capacity of scholars through short PhD placements at partner institutions in areas relevant to development challenges. The PhD placements awarded focus on research areas which have been identified at the country level as important for working towards development priorities.,127.76,0,127.76
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCKZPDEP-1,Kazakhstan,613,Asia,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,Professional Development Programmes,11430,Advanced technical and managerial training,114,Education,100,"This Professional Development Programme will provide creative economy enterprise training, drawing from the UK leadership on the topic, creating networking opportunities for researchers",0,0.24325,-0.24325
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCPHPhDP-394,Philippines,755,Asia,LMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,PhD Scholarships 2017,43081,Multisector education/training,430,Multisector / Cross-Cutting,100,The programme aims to develop individual capacity of scholars through PhD placements in areas relevant to development challenges. Students spend 3-6 months at a partner institution. The PhD placements awarded focus on research areas which have been identified at the country level as important for working towards development priorities.,23,0,23
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCPHPhDP-404,Philippines,755,Asia,LMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,PhD Scholarships 2019,43081,Multisector education/training,430,Multisector / Cross-Cutting,100,The programme aims to develop individual capacity of scholars through PhD placements in areas relevant to development challenges. Students spend 3-6 months at a partner institution. The PhD placements awarded focus on research areas which have been identified at the country level as important for working towards development priorities.,172.50976,0,172.50976
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCZAPhDP-410,South Africa,218,Africa,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,PhD extension (2018- 2021),43081,Multisector education/training,430,Multisector / Cross-Cutting,100,The programme aims to develop individual capacity of scholars through PhD placements in areas relevant to development challenges. Students spend 36 months at a partner institution. The PhD placements awarded focus on research areas which have been identified at the country level as important for working towards development priorities.,4.05,0,4.05
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCZAUSDP-415,South Africa,218,Africa,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,University Staff Doctoral Programme,43081,Multisector education/training,430,Multisector / Cross-Cutting,100,The SA-UK University Staff Doctoral Proogramme (USDP) Phase 2 project supports doctoral training for academics employed at South African Higher Education Institutions through PhD scholarships and capacity building programmes enabled through partnerships between UK and South African Higher Education Institutions.,330,0,330
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCTHPhDP-431,Thailand,764,Asia,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,PhD Placement 2017/18,43081,Multisector education/training,430,Multisector / Cross-Cutting,100,The programme aims to develop individual capacity of scholars through PhD placements in areas relevant to development challenges. Students spend up to 12 months at a partner institution. The placements awarded focus on research areas which have been identified at the country level as important for working towards development priorities.,1.65652,0,1.65652
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-BCTHPhDP-432,Thailand,764,Asia,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,PhD Placement 2018/19,43081,Multisector education/training,430,Multisector / Cross-Cutting,100,The programme aims to develop individual capacity of scholars through PhD placements in areas relevant to development challenges. Students spend up to 12 months at a partner institution. The placements awarded focus on research areas which have been identified at the country level as important for working towards development priorities.,5.45984,0,5.45984
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAEBRLIF-705,Brazil,431,Americas,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme  v2, 3, 4, 5, 6 =, 7 2015-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,396.94359,0,396.94359
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAECNLIF-714,China,730,Asia,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v2, 3, 4, 5, 6 =, 7 2015-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,421.94464,0,421.94464
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAECOLIF-717,Colombia,437,Americas,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,Leaders in Innovation Fellowships Programme v2 4 6 7 2015-21,32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,401.94464,0,401.94464
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAEEGLIF-722,Egypt,142,Africa,LMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v2, 4, 6, 7 2015-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,421.94364,0,421.94364
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAEINLIF-727,India,645,Asia,LMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v2, 6, 7 2015-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,421.94364,0,421.94364
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAEIDLIF-733,Indonesia,738,Asia,LMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v3, 4, 5, 6 2016-20",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,278.57049,0,278.57049
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAEKELIF-798,Kenya,248,Africa,LMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v4, 5, 6, 7 2017-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,250.79264,0,250.79264
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAEMYLIF-741,Malaysia,751,Asia,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v3, 4, 5, 6, 7 2016-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,421.94364,0,421.94364
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAEMXLIF-748,Mexico,358,Americas,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v2, 6, 7 2015-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,421.94364,0,421.94364
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAEPELIF-798,Peru,454,Americas,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v5, 6, 7 2018-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,351.94364,0,351.94364
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAEPHLIF-754,Philippines,755,Asia,LMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v2, 3, 6, 7 2015-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,261.75366,0,261.75366
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAEZALIF-765,South Africa,218,Africa,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v2,4, 5, 6, 7 2015-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,305.06729,0,305.06729
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAECLLIF-708,"South America, regional",489,Americas,Part I unallocated by income,Donor country-based NGO,22000,22000,Other bilateral,110,E01,Scholarships/training in donor country,Leaders in Innovation Fellowships Programme v1 2014-20,32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,"The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of researchers from select ODA-eligible Latin American partner countries (Brazil, Colombia, Peru, Mexico) who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.",70,0,70
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAETHLIF-771,Thailand,764,Asia,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v2, 3, 4, 5, 6, 7 2015-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,425.85823,0,425.85823
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAETRLIF-782,Turkey,55,Europe,UMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v2, 6, 7 2015-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,421.94364,0,421.94364
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF-RAEVNLIF-793,Vietnam,769,Asia,LMICs,"University, college or other teaching institution, research institute or think‑tank",51000,51000,Other bilateral,110,E01,Scholarships/training in donor country,"Leaders in Innovation Fellowships Programme v2, 3, 6, 7 2015-21",32130,Small and medium-sized enterprises (SME) development,321,Production Sectors,100,The Leaders in Innovation Fellowships programme builds technology entrepreneurship capacity of select partner country researchers who are developing a business proposition for their innovation which must meet a development challenge. Selected researchers benefit from focussed short term training and long term support through access to expert mentors and international networks.,425.85823,0,425.85823
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_IND_145,India,645,Asia,LMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Building capacity and outreach in big data and engineering through Laser Interferometer Gravitational-Wave Observatory in India.,11430,Advanced technical and managerial training,114,Education,100,"Training programme to establish education in big data management and analysis, advanced engineering, and upskilling local teams in gravitational wave science. It supports India’s economic development plan, and contributes to SDG 4.",26.21393,0,26.21393
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_IND_153,India,645,Asia,LMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Building capacity and outreach in big data and engineering through Laser Interferometer Gravitational-Wave Observatory in India: Extension.,11430,Advanced technical and managerial training,114,Education,100,"Training programme to establish education in big data management and analysis and advanced engineering to upskill local teams in radio astronomy. It supports India’s economic development plan, and addresses SDG4.",153.16603,0,153.16603
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_JOR_150,Jordan,549,Asia,LMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Building capacity in data intensive science in Jordan and the Middle East.,11430,Advanced technical and managerial training,114,Education,100,"Training and skills development programme in big data and data intensive science. It will enable Jordanian researchers to apply advanced techniques to solve development challenges, addresses SDGs 3,11, benefits Middle East countries.",252.40514,0,252.40514
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_MYS_18_RCUKRG1,Malaysia,751,Asia,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Knowledge exchange and transferable skills development of Malaysian students in big data analysis through Astronomy Online Labs.,11430,Advanced technical and managerial training,114,Education,100,"Capacity building project to develop high-end data analysis and computing skills through learning research technique for big data sets. It will help enhance Malaysian capability to address development needs, and contributes to SDG4.",0,22.76426,-22.76426
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_MYS_144,Malaysia,751,Asia,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Building capacity in Malaysia and South East Asian countries to improve skills for utilising large facilities.,11430,Advanced technical and managerial training,114,Education,100,"Capacity building activities to promote high tech skills for large facilities for applied research across a range of disciplines. It will help researchers in Malaysia and South East Asian countries to address development needs, contributes to SDG 9.",246.957,0,246.957
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_MYS_143,Malaysia,751,Asia,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,"Developing transferrable skills in big data management and analysis, advanced engineering and digital innovation in Malaysia.",11430,Advanced technical and managerial training,114,Education,100,"Training and skills development activities in big data, advanced engineering and digital innovation within scientific projects across the world. It will help Malaysian researchers develop skills to address development needs, contributes to SDG9.",247.40215,0,247.40215
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_MEX_RCUK2b,Mexico,358,Americas,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,"Building instrumentation development skills to develop cost-efficient, radiation-tolerant pixel detectors for ionising radiation: thin-film technology",11430,Advanced technical and managerial training,114,Education,100,"Research and capacity building programme to explore novel uses of thin-film technology for imaging. It will build capabilities of Mexican researchers to address development needs, and contributes to SDG 4.",28.69446,0,28.69446
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_MEX_134,Mexico,358,Americas,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Build S&T capacity for LATAM Very Long Baseline Interferometry Network to strengthen advanced radio astronomy in Mexico to address development needs,11430,Advanced technical and managerial training,114,Education,100,"Training programme to establish education in big data management and analysis, advanced engineering, and upskilling local teams in radio astronomy. It supports Mexico’s economic development plan, addresses SDG4 and benefits Latin American countries.",43.54463,0,43.54463
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_ZAF_151,South Africa,218,Africa,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Addressing development in Africa with Radio Astronomy: Expansion 2019,11430,Advanced technical and managerial training,114,Education,100,"Training and skills programme to establish education in big data management and analysis and advanced engineering to upskill local teams in radio astronomy. It supports South Africa’s economic development plan, and addresses SDG4.",279.85188,0,279.85188
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_ZAF_140,South Africa,218,Africa,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Build S&T skills for African Very Long Baseline Interferometry Network to strengthen advanced radio astronomy in SA to help address development needs,11430,Advanced technical and managerial training,114,Education,100,"Training programme to establish education in big data management and analysis and advanced engineering to upskill local teams in radio astronomy. It supports South Africa’s economic development plan, and contributes to SDG4.",400,0,400
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_ZAF_152,South Africa,218,Africa,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Addressing development in Africa with Radio Astronomy: Expansion 2019,11430,Advanced technical and managerial training,114,Education,100,"Training and skills programme to establish education in big data management and analysis and advanced engineering to upskill local teams in radio astronomy. It supports South Africa’s economic development plan, and addresses SDG4.",410.57913,0,410.57913
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_ZAF_141,South Africa,218,Africa,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,Building UK-Africa Data Science Network capturing Square Kilometre Array Driven Data Transformation,11430,Advanced technical and managerial training,114,Education,100,"Training programme to establish education in big data management and analysis and advanced engineering to upskill local teams. It supports South Africa’s economic development plan, contributes to SDG 4 and benefits many African countries.",460.92656,0,460.92656
2020,"Department for Business, Energy and Industrial Strategy","Department for Business, Innovation and Skills",,NF_STFC_THA_2_RCUKRG1,Thailand,764,Asia,UMICs,Donor Government,11000,11000,Other bilateral,110,E01,Scholarships/training in donor country,"Development of Science, Technology, Engineering, and Mathematics skills in data analysis and advanced engineering in Thailand.",11430,Advanced technical and managerial training,114,Education,100,"Training and research programme to help improve instrumentation and software development capability and capacity. This will help researchers in Thailand to boost capabilities and expertise to enable inspiring young adults, contributes to SDG4.",77.09445,10.74708,66.34737
