Year,Country,Sex,Cause of death,Observation status,Value,,,
2013,Scotland,Male,Diarrhoea,Undefined,49,,,
2014,Scotland,Male,Diarrhoea,Undefined,50,,,
2015,Scotland,Male,Diarrhoea,Undefined,42,,,
2016,Scotland,Male,Diarrhoea,Undefined,49,,,
2017,Scotland,Male,Diarrhoea,Undefined,45,,,
2018,Scotland,Male,Diarrhoea,Undefined,47,,,
2019,Scotland,Male,Diarrhoea,Undefined,52,,,
2020,Scotland,Male,Diarrhoea,Undefined,47,,,
2021,Scotland,Male,Diarrhoea,Undefined,26,,,
2013,Scotland,Male,Intestinal nematode infections,Undefined,0,,,
2014,Scotland,Male,Intestinal nematode infections,Undefined,0,,,
2015,Scotland,Male,Intestinal nematode infections,Undefined,0,,,
2016,Scotland,Male,Intestinal nematode infections,Undefined,0,,,
2017,Scotland,Male,Intestinal nematode infections,Undefined,0,,,
2018,Scotland,Male,Intestinal nematode infections,Undefined,0,,,
2019,Scotland,Male,Intestinal nematode infections,Undefined,0,,,
2020,Scotland,Male,Intestinal nematode infections,Undefined,0,,,
2021,Scotland,Male,Intestinal nematode infections,Undefined,0,,,
2013,Scotland,Male,Protein-energy malnutrition,Undefined,4,,,
2014,Scotland,Male,Protein-energy malnutrition,Undefined,4,,,
2015,Scotland,Male,Protein-energy malnutrition,Undefined,1,,,
2016,Scotland,Male,Protein-energy malnutrition,Undefined,5,,,
2017,Scotland,Male,Protein-energy malnutrition,Undefined,4,,,
2018,Scotland,Male,Protein-energy malnutrition,Undefined,6,,,
2019,Scotland,Male,Protein-energy malnutrition,Undefined,2,,,
2020,Scotland,Male,Protein-energy malnutrition,Undefined,2,,,
2021,Scotland,Male,Protein-energy malnutrition,Undefined,7,,,
2013,Scotland,Male,Acute respiratory infections,Undefined,947,,,
2014,Scotland,Male,Acute respiratory infections,Undefined,889,,,
2015,Scotland,Male,Acute respiratory infections,Undefined,1001,,,
2016,Scotland,Male,Acute respiratory infections,Undefined,940,,,
2017,Scotland,Male,Acute respiratory infections,Undefined,989,,,
2018,Scotland,Male,Acute respiratory infections,Undefined,1098,,,
2019,Scotland,Male,Acute respiratory infections,Undefined,961,,,
2020,Scotland,Male,Acute respiratory infections,Undefined,796,,,
2021,Scotland,Male,Acute respiratory infections,Undefined,649,,,
2013,Scotland,Female,Diarrhoea,Undefined,91,,,
2014,Scotland,Female,Diarrhoea,Undefined,82,,,
2015,Scotland,Female,Diarrhoea,Undefined,102,,,
2016,Scotland,Female,Diarrhoea,Undefined,95,,,
2017,Scotland,Female,Diarrhoea,Undefined,82,,,
2018,Scotland,Female,Diarrhoea,Undefined,90,,,
2019,Scotland,Female,Diarrhoea,Undefined,79,,,
2020,Scotland,Female,Diarrhoea,Undefined,79,,,
2021,Scotland,Female,Diarrhoea,Undefined,33,,,
2013,Scotland,Female,Intestinal nematode infections,Undefined,0,,,
2014,Scotland,Female,Intestinal nematode infections,Undefined,0,,,
2015,Scotland,Female,Intestinal nematode infections,Undefined,0,,,
2016,Scotland,Female,Intestinal nematode infections,Undefined,0,,,
2017,Scotland,Female,Intestinal nematode infections,Undefined,0,,,
2018,Scotland,Female,Intestinal nematode infections,Undefined,0,,,
2019,Scotland,Female,Intestinal nematode infections,Undefined,0,,,
2020,Scotland,Female,Intestinal nematode infections,Undefined,0,,,
2021,Scotland,Female,Intestinal nematode infections,Undefined,0,,,
2013,Scotland,Female,Protein-energy malnutrition,Undefined,5,,,
2014,Scotland,Female,Protein-energy malnutrition,Undefined,7,,,
2015,Scotland,Female,Protein-energy malnutrition,Undefined,4,,,
2016,Scotland,Female,Protein-energy malnutrition,Undefined,4,,,
2017,Scotland,Female,Protein-energy malnutrition,Undefined,5,,,
2018,Scotland,Female,Protein-energy malnutrition,Undefined,5,,,
2019,Scotland,Female,Protein-energy malnutrition,Undefined,5,,,
2020,Scotland,Female,Protein-energy malnutrition,Undefined,9,,,
2021,Scotland,Female,Protein-energy malnutrition,Undefined,7,,,
2013,Scotland,Female,Acute respiratory infections,Undefined,1304,,,
2014,Scotland,Female,Acute respiratory infections,Undefined,1077,,,
2015,Scotland,Female,Acute respiratory infections,Undefined,1294,,,
2016,Scotland,Female,Acute respiratory infections,Undefined,1217,,,
2017,Scotland,Female,Acute respiratory infections,Undefined,1369,,,
2018,Scotland,Female,Acute respiratory infections,Undefined,1486,,,
2019,Scotland,Female,Acute respiratory infections,Undefined,1208,,,
2020,Scotland,Female,Acute respiratory infections,Undefined,867,,,
2021,Scotland,Female,Acute respiratory infections,Undefined,822,,,
2013,Scotland,Female,,Undefined,1400,,,
2014,Scotland,Female,,Undefined,1166,,,
2015,Scotland,Female,,Undefined,1400,,,
2016,Scotland,Female,,Undefined,1316,,,
2017,Scotland,Female,,Undefined,1456,,,
2018,Scotland,Female,,Undefined,1581,,,
2019,Scotland,Female,,Undefined,1292,,,
2020,Scotland,Female,,Undefined,955,,,
2021,Scotland,Female,,Undefined,862,,,
2013,Northern Ireland,,,Undefined,823,,,
2014,Northern Ireland,,,Undefined,819,,,
2015,Northern Ireland,,,Undefined,897,,,
2016,Northern Ireland,,,Undefined,857,,,
2017,Northern Ireland,,,Undefined,877,,,
2018,Northern Ireland,,,Undefined,935,,,
2019,Northern Ireland,,,Undefined,778,,,
2020,Northern Ireland,,,Undefined,573,,,
2021,Northern Ireland,,,Undefined,503,,,
2013,Northern Ireland,Male,,Undefined,323,,,
2014,Northern Ireland,Male,,Undefined,340,,,
2015,Northern Ireland,Male,,Undefined,368,,,
2016,Northern Ireland,Male,,Undefined,358,,,
2017,Northern Ireland,Male,,Undefined,366,,,
2018,Northern Ireland,Male,,Undefined,390,,,
2019,Northern Ireland,Male,,Undefined,322,,,
2020,Northern Ireland,Male,,Undefined,233,,,
2021,Northern Ireland,Male,,Undefined,224,,,
2013,Northern Ireland,Female,,Undefined,500,,,
2014,Northern Ireland,Female,,Undefined,479,,,
2015,Northern Ireland,Female,,Undefined,529,,,
2016,Northern Ireland,Female,,Undefined,499,,,
2017,Northern Ireland,Female,,Undefined,511,,,
2018,Northern Ireland,Female,,Undefined,545,,,
2019,Northern Ireland,Female,,Undefined,456,,,
2020,Northern Ireland,Female,,Undefined,340,,,
2021,Northern Ireland,Female,,Undefined,279,,,
2013,Northern Ireland,,Diarrhoea,Undefined,68,,,
2014,Northern Ireland,,Diarrhoea,Undefined,46,,,
2015,Northern Ireland,,Diarrhoea,Undefined,53,,,
2016,Northern Ireland,,Diarrhoea,Undefined,45,,,
2017,Northern Ireland,,Diarrhoea,Undefined,52,,,
2018,Northern Ireland,,Diarrhoea,Undefined,34,,,
2019,Northern Ireland,,Diarrhoea,Undefined,43,,,
2020,Northern Ireland,,Diarrhoea,Undefined,47,,,
2021,Northern Ireland,,Diarrhoea,Undefined,39,,,
2013,Northern Ireland,,Intestinal nematode infections,Undefined,0,,,
2014,Northern Ireland,,Intestinal nematode infections,Undefined,0,,,
2015,Northern Ireland,,Intestinal nematode infections,Undefined,0,,,
2016,Northern Ireland,,Intestinal nematode infections,Undefined,0,,,
2017,Northern Ireland,,Intestinal nematode infections,Undefined,0,,,
2018,Northern Ireland,,Intestinal nematode infections,Undefined,0,,,
2019,Northern Ireland,,Intestinal nematode infections,Undefined,0,,,
2020,Northern Ireland,,Intestinal nematode infections,Undefined,0,,,
2021,Northern Ireland,,Intestinal nematode infections,Undefined,0,,,
2013,Northern Ireland,,Protein-energy malnutrition,Undefined,5,,,
2014,Northern Ireland,,Protein-energy malnutrition,Undefined,2,,,
2015,Northern Ireland,,Protein-energy malnutrition,Undefined,4,,,
2016,Northern Ireland,,Protein-energy malnutrition,Undefined,1,,,
2017,Northern Ireland,,Protein-energy malnutrition,Undefined,4,,,
2018,Northern Ireland,,Protein-energy malnutrition,Undefined,4,,,
2019,Northern Ireland,,Protein-energy malnutrition,Undefined,5,,,
2020,Northern Ireland,,Protein-energy malnutrition,Undefined,4,,,
2021,Northern Ireland,,Protein-energy malnutrition,Undefined,6,,,
2013,Northern Ireland,,Acute respiratory infections,Undefined,750,,,
2014,Northern Ireland,,Acute respiratory infections,Undefined,771,,,
2015,Northern Ireland,,Acute respiratory infections,Undefined,840,,,
2016,Northern Ireland,,Acute respiratory infections,Undefined,811,,,
2017,Northern Ireland,,Acute respiratory infections,Undefined,821,,,
2018,Northern Ireland,,Acute respiratory infections,Undefined,897,,,
2019,Northern Ireland,,Acute respiratory infections,Undefined,729,,,
2020,Northern Ireland,,Acute respiratory infections,Undefined,522,,,
2021,Northern Ireland,,Acute respiratory infections,Undefined,458,,,
2013,Northern Ireland,Male,Diarrhoea,Undefined,21,,,
2014,Northern Ireland,Male,Diarrhoea,Undefined,18,,,
2015,Northern Ireland,Male,Diarrhoea,Undefined,13,,,
2016,Northern Ireland,Male,Diarrhoea,Undefined,15,,,
2017,Northern Ireland,Male,Diarrhoea,Undefined,23,,,
2018,Northern Ireland,Male,Diarrhoea,Undefined,11,,,
2019,Northern Ireland,Male,Diarrhoea,Undefined,13,,,
2020,Northern Ireland,Male,Diarrhoea,Undefined,17,,,
2021,Northern Ireland,Male,Diarrhoea,Undefined,13,,,
2013,Northern Ireland,Male,Intestinal nematode infections,Undefined,0,,,
2014,Northern Ireland,Male,Intestinal nematode infections,Undefined,0,,,
2015,Northern Ireland,Male,Intestinal nematode infections,Undefined,0,,,
2016,Northern Ireland,Male,Intestinal nematode infections,Undefined,0,,,
2017,Northern Ireland,Male,Intestinal nematode infections,Undefined,0,,,
2018,Northern Ireland,Male,Intestinal nematode infections,Undefined,0,,,
2019,Northern Ireland,Male,Intestinal nematode infections,Undefined,0,,,
2020,Northern Ireland,Male,Intestinal nematode infections,Undefined,0,,,
2021,Northern Ireland,Male,Intestinal nematode infections,Undefined,0,,,
2013,Northern Ireland,Male,Protein-energy malnutrition,Undefined,0,,,
2014,Northern Ireland,Male,Protein-energy malnutrition,Undefined,1,,,
2015,Northern Ireland,Male,Protein-energy malnutrition,Undefined,2,,,
2016,Northern Ireland,Male,Protein-energy malnutrition,Undefined,0,,,
2017,Northern Ireland,Male,Protein-energy malnutrition,Undefined,2,,,
2018,Northern Ireland,Male,Protein-energy malnutrition,Undefined,1,,,
2019,Northern Ireland,Male,Protein-energy malnutrition,Undefined,2,,,
2020,Northern Ireland,Male,Protein-energy malnutrition,Undefined,2,,,
2021,Northern Ireland,Male,Protein-energy malnutrition,Undefined,3,,,
2013,Northern Ireland,Male,Acute respiratory infections,Undefined,302,,,
2014,Northern Ireland,Male,Acute respiratory infections,Undefined,321,,,
2015,Northern Ireland,Male,Acute respiratory infections,Undefined,368,,,
2016,Northern Ireland,Male,Acute respiratory infections,Undefined,343,,,
2017,Northern Ireland,Male,Acute respiratory infections,Undefined,341,,,
2018,Northern Ireland,Male,Acute respiratory infections,Undefined,378,,,
2019,Northern Ireland,Male,Acute respiratory infections,Undefined,306,,,
2020,Northern Ireland,Male,Acute respiratory infections,Undefined,214,,,
2021,Northern Ireland,Male,Acute respiratory infections,Undefined,208,,,
2013,Northern Ireland,Female,Diarrhoea,Undefined,47,,,
2014,Northern Ireland,Female,Diarrhoea,Undefined,28,,,
2015,Northern Ireland,Female,Diarrhoea,Undefined,40,,,
2016,Northern Ireland,Female,Diarrhoea,Undefined,30,,,
2017,Northern Ireland,Female,Diarrhoea,Undefined,29,,,
2018,Northern Ireland,Female,Diarrhoea,Undefined,23,,,
2019,Northern Ireland,Female,Diarrhoea,Undefined,30,,,
2020,Northern Ireland,Female,Diarrhoea,Undefined,30,,,
2021,Northern Ireland,Female,Diarrhoea,Undefined,26,,,
2013,Northern Ireland,Female,Intestinal nematode infections,Undefined,0,,,
2014,Northern Ireland,Female,Intestinal nematode infections,Undefined,0,,,
2015,Northern Ireland,Female,Intestinal nematode infections,Undefined,0,,,
2016,Northern Ireland,Female,Intestinal nematode infections,Undefined,0,,,
2017,Northern Ireland,Female,Intestinal nematode infections,Undefined,0,,,
2018,Northern Ireland,Female,Intestinal nematode infections,Undefined,0,,,
2019,Northern Ireland,Female,Intestinal nematode infections,Undefined,0,,,
2020,Northern Ireland,Female,Intestinal nematode infections,Undefined,0,,,
2021,Northern Ireland,Female,Intestinal nematode infections,Undefined,0,,,
2013,Northern Ireland,Female,Protein-energy malnutrition,Undefined,5,,,
2014,Northern Ireland,Female,Protein-energy malnutrition,Undefined,1,,,
2015,Northern Ireland,Female,Protein-energy malnutrition,Undefined,2,,,
2016,Northern Ireland,Female,Protein-energy malnutrition,Undefined,1,,,
2017,Northern Ireland,Female,Protein-energy malnutrition,Undefined,2,,,
2018,Northern Ireland,Female,Protein-energy malnutrition,Undefined,3,,,
2019,Northern Ireland,Female,Protein-energy malnutrition,Undefined,3,,,
2020,Northern Ireland,Female,Protein-energy malnutrition,Undefined,2,,,
2021,Northern Ireland,Female,Protein-energy malnutrition,Undefined,3,,,
2013,Northern Ireland,Female,Acute respiratory infections,Undefined,448,,,
2014,Northern Ireland,Female,Acute respiratory infections,Undefined,450,,,
2015,Northern Ireland,Female,Acute respiratory infections,Undefined,529,,,
2016,Northern Ireland,Female,Acute respiratory infections,Undefined,468,,,
2017,Northern Ireland,Female,Acute respiratory infections,Undefined,480,,,
2018,Northern Ireland,Female,Acute respiratory infections,Undefined,519,,,
2019,Northern Ireland,Female,Acute respiratory infections,Undefined,423,,,
2020,Northern Ireland,Female,Acute respiratory infections,Undefined,308,,,
2021,Northern Ireland,Female,Acute respiratory infections,Undefined,250,,,
