Year,Country,Sex,Cause of death,Observation status,Value,,,
2013,Scotland,,,Undefined,2400,,,
2014,Scotland,,,Undefined,2109,,,
2015,Scotland,,,Undefined,2444,,,
2016,Scotland,,,Undefined,2310,,,
2017,Scotland,,,Undefined,2494,,,
2018,Scotland,,,Undefined,2732,,,
2019,Scotland,,,Undefined,2307,,,
2020,Scotland,,,Undefined,1800,,,
2021,Scotland,,,Undefined,1544,,,
2013,Scotland,,Diarrhoea,Undefined,140,,,
2014,Scotland,,Diarrhoea,Undefined,132,,,
2015,Scotland,,Diarrhoea,Undefined,144,,,
2016,Scotland,,Diarrhoea,Undefined,144,,,
2017,Scotland,,Diarrhoea,Undefined,127,,,
2018,Scotland,,Diarrhoea,Undefined,137,,,
2019,Scotland,,Diarrhoea,Undefined,131,,,
2020,Scotland,,Diarrhoea,Undefined,126,,,
2021,Scotland,,Diarrhoea,Undefined,59,,,
2013,Scotland,,Intestinal nematode infections,Undefined,0,,,
2014,Scotland,,Intestinal nematode infections,Undefined,0,,,
2015,Scotland,,Intestinal nematode infections,Undefined,0,,,
2016,Scotland,,Intestinal nematode infections,Undefined,0,,,
2017,Scotland,,Intestinal nematode infections,Undefined,0,,,
2018,Scotland,,Intestinal nematode infections,Undefined,0,,,
2019,Scotland,,Intestinal nematode infections,Undefined,0,,,
2020,Scotland,,Intestinal nematode infections,Undefined,0,,,
2021,Scotland,,Intestinal nematode infections,Undefined,0,,,
2013,Scotland,,Protein-energy malnutrition,Undefined,9,,,
2014,Scotland,,Protein-energy malnutrition,Undefined,11,,,
2015,Scotland,,Protein-energy malnutrition,Undefined,5,,,
2016,Scotland,,Protein-energy malnutrition,Undefined,9,,,
2017,Scotland,,Protein-energy malnutrition,Undefined,9,,,
2018,Scotland,,Protein-energy malnutrition,Undefined,11,,,
2019,Scotland,,Protein-energy malnutrition,Undefined,7,,,
2020,Scotland,,Protein-energy malnutrition,Undefined,11,,,
2021,Scotland,,Protein-energy malnutrition,Undefined,14,,,
2013,Scotland,,Acute respiratory infections,Undefined,2251,,,
2014,Scotland,,Acute respiratory infections,Undefined,1966,,,
2015,Scotland,,Acute respiratory infections,Undefined,2295,,,
2016,Scotland,,Acute respiratory infections,Undefined,2157,,,
2017,Scotland,,Acute respiratory infections,Undefined,2358,,,
2018,Scotland,,Acute respiratory infections,Undefined,2584,,,
2019,Scotland,,Acute respiratory infections,Undefined,2169,,,
2020,Scotland,,Acute respiratory infections,Undefined,1663,,,
2021,Scotland,,Acute respiratory infections,Undefined,1471,,,
2013,Scotland,Male,,Undefined,1000,,,
2014,Scotland,Male,,Undefined,943,,,
2015,Scotland,Male,,Undefined,1044,,,
2016,Scotland,Male,,Undefined,994,,,
2017,Scotland,Male,,Undefined,1038,,,
2018,Scotland,Male,,Undefined,1151,,,
2019,Scotland,Male,,Undefined,1015,,,
2020,Scotland,Male,,Undefined,845,,,
2021,Scotland,Male,,Undefined,682,,,
