"Year","Series","Flight category","Observation status","Unit multiplier","Units","Value"
"2011","Freight (thousand tonnes)","International","Normal value","Thousands","Tonnes","2196.192702999997"
"2012","Freight (thousand tonnes)","International","Normal value","Thousands","Tonnes","2198.7336169999976"
"2013","Freight (thousand tonnes)","International","Normal value","Thousands","Tonnes","2159.3394159999966"
"2014","Freight (thousand tonnes)","International","Normal value","Thousands","Tonnes","2200.806701999998"
"2015","Freight (thousand tonnes)","International","Normal value","Thousands","Tonnes","2196.296786999997"
"2016","Freight (thousand tonnes)","International","Normal value","Thousands","Tonnes","2310.9062900000017"
"2017","Freight (thousand tonnes)","International","Normal value","Thousands","Tonnes","2542.7126510000003"
"2018","Freight (thousand tonnes)","International","Normal value","Thousands","Tonnes","2551.4066870000001"
"2019","Freight (thousand tonnes)","International","Normal value","Thousands","Tonnes","2455.6255760000004"
"2020","Freight (thousand tonnes)","International","Normal value","Thousands","Tonnes","1919.1172859999999"
"2021","Freight (thousand tonnes)","International","Normal value","Thousands","Tonnes","2230.0384749999998"
"2011","Freight (thousand tonnes)","Domestic","Normal value","Thousands","Tonnes","101.1234899999998"
"2012","Freight (thousand tonnes)","Domestic","Normal value","Thousands","Tonnes","103.37430499999978"
"2013","Freight (thousand tonnes)","Domestic","Normal value","Thousands","Tonnes","102.91720099999985"
"2014","Freight (thousand tonnes)","Domestic","Normal value","Thousands","Tonnes","103.54295099999986"
"2015","Freight (thousand tonnes)","Domestic","Normal value","Thousands","Tonnes","102.91621699999988"
"2016","Freight (thousand tonnes)","Domestic","Normal value","Thousands","Tonnes","74.203998000000013"
"2017","Freight (thousand tonnes)","Domestic","Normal value","Thousands","Tonnes","79.237240000000014"
"2018","Freight (thousand tonnes)","Domestic","Normal value","Thousands","Tonnes","79.514464000000004"
"2019","Freight (thousand tonnes)","Domestic","Normal value","Thousands","Tonnes","79.469251"
"2020","Freight (thousand tonnes)","Domestic","Normal value","Thousands","Tonnes","82.837622999999994"
"2021","Freight (thousand tonnes)","Domestic","Normal value","Thousands","Tonnes","92.374994000000001"
"2011","Freight (thousand tonnes)","","Normal value","Thousands","Tonnes","2297.3161929999969"
"2012","Freight (thousand tonnes)","","Normal value","Thousands","Tonnes","2302.1079219999974"
"2013","Freight (thousand tonnes)","","Normal value","Thousands","Tonnes","2262.2566169999964"
"2014","Freight (thousand tonnes)","","Normal value","Thousands","Tonnes","2304.3496529999979"
"2015","Freight (thousand tonnes)","","Normal value","Thousands","Tonnes","2299.213003999997"
"2016","Freight (thousand tonnes)","","Normal value","Thousands","Tonnes","2409.8322110000017"
"2017","Freight (thousand tonnes)","","Normal value","Thousands","Tonnes","2640.3365230000004"
"2018","Freight (thousand tonnes)","","Normal value","Thousands","Tonnes","2630.921151"
"2019","Freight (thousand tonnes)","","Normal value","Thousands","Tonnes","2535.0948270000004"
"2020","Freight (thousand tonnes)","","Normal value","Thousands","Tonnes","2001.9"
"2021","Freight (thousand tonnes)","","Normal value","Thousands","Tonnes","2322.4134689999996"
"2011","Terminal passengers (thousands)","International","Normal value","Thousands","Number","183867.21599999999"
"2012","Terminal passengers (thousands)","International","Normal value","Thousands","Number","185492.992"
"2013","Terminal passengers (thousands)","International","Normal value","Thousands","Number","192484.87300000002"
"2014","Terminal passengers (thousands)","International","Normal value","Thousands","Number","201706.834"
"2015","Terminal passengers (thousands)","International","Normal value","Thousands","Number","213023.03700000001"
"2016","Terminal passengers (thousands)","International","Normal value","Thousands","Number","229402.93300000002"
"2017","Terminal passengers (thousands)","International","Normal value","Thousands","Number","244731.67199999999"
"2018","Terminal passengers (thousands)","International","Normal value","Thousands","Number","252114.568"
"2019","Terminal passengers (thousands)","International","Normal value","Thousands","Number","258277.00200000001"
"2020","Terminal passengers (thousands)","International","Normal value","Thousands","Number","63187.083000000006"
"2021","Terminal passengers (thousands)","International","Normal value","Thousands","Number","50605.478999999999"
"2011","Terminal passengers (thousands)","Domestic","Normal value","Thousands","Number","35131.587"
"2012","Terminal passengers (thousands)","Domestic","Normal value","Thousands","Number","34935.281000000003"
"2013","Terminal passengers (thousands)","Domestic","Normal value","Thousands","Number","35761.357000000004"
"2014","Terminal passengers (thousands)","Domestic","Normal value","Thousands","Number","36542.852000000006"
"2015","Terminal passengers (thousands)","Domestic","Normal value","Thousands","Number","38306.652000000002"
"2016","Terminal passengers (thousands)","Domestic","Normal value","Thousands","Number","38904.345000000001"
"2017","Terminal passengers (thousands)","Domestic","Normal value","Thousands","Number","39637.181999999993"
"2018","Terminal passengers (thousands)","Domestic","Normal value","Thousands","Number","39950.723000000005"
"2019","Terminal passengers (thousands)","Domestic","Normal value","Thousands","Number","38381.401999999995"
"2020","Terminal passengers (thousands)","Domestic","Normal value","Thousands","Number","10487.108999999999"
"2021","Terminal passengers (thousands)","Domestic","Normal value","Thousands","Number","13652.252"
"2011","Terminal passengers (thousands)","","Normal value","Thousands","Number","218998.80299999999"
"2012","Terminal passengers (thousands)","","Normal value","Thousands","Number","220428.27299999999"
"2013","Terminal passengers (thousands)","","Normal value","Thousands","Number","228246.23000000004"
"2014","Terminal passengers (thousands)","","Normal value","Thousands","Number","238249.68600000002"
"2015","Terminal passengers (thousands)","","Normal value","Thousands","Number","251329.68900000001"
"2016","Terminal passengers (thousands)","","Normal value","Thousands","Number","268330.98500000004"
"2017","Terminal passengers (thousands)","","Normal value","Thousands","Number","284397.09499999997"
"2018","Terminal passengers (thousands)","","Normal value","Thousands","Number","292065.29100000003"
"2019","Terminal passengers (thousands)","","Normal value","Thousands","Number","296658.40399999998"
"2020","Terminal passengers (thousands)","","Normal value","Thousands","Number","73674.19200000001"
"2021","Terminal passengers (thousands)","","Normal value","Thousands","Number","64257.731"
