CTRY20CD,CTRY20NM,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT
E92000001,England,13293026.32,13046237.63,15188.35,13031049.28
N92000002,Northern Ireland,1432976.41,1432976.41,53681.35,1379295.06
S92000003,Scotland,8022929.95,7880174.78,90027.97,7790146.81
W92000004,Wales,2122125.7,2078260.31,4608.53,2073651.78
