"Year","Series","Industry sector","Unit measure","Unit multiplier","Observation status","Value"
"2018","Energy intensity level of primary energy","Professional, scientific and technical activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.4"
"2019","Energy intensity level of primary energy","Professional, scientific and technical activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.4"
"2020","Energy intensity level of primary energy","Professional, scientific and technical activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.3"
"2018","Energy intensity level of primary energy","Public administration and defence; compulsory social security","Terajoules per million pounds (TJ/£ million)","Units","Normal value","1"
"2019","Energy intensity level of primary energy","Public administration and defence; compulsory social security","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.9"
"2020","Energy intensity level of primary energy","Public administration and defence; compulsory social security","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.8"
"2018","Energy intensity level of primary energy","Real estate activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.1"
"2019","Energy intensity level of primary energy","Real estate activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.1"
"2020","Energy intensity level of primary energy","Real estate activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","0.1"
"2018","Energy intensity level of primary energy","Transport and storage","Terajoules per million pounds (TJ/£ million)","Units","Normal value","16.2"
"2019","Energy intensity level of primary energy","Transport and storage","Terajoules per million pounds (TJ/£ million)","Units","Normal value","15.4"
"2020","Energy intensity level of primary energy","Transport and storage","Terajoules per million pounds (TJ/£ million)","Units","Normal value","11.7"
"2018","Energy intensity level of primary energy","Water supply; sewerage, waste management and remediation activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","5"
"2019","Energy intensity level of primary energy","Water supply; sewerage, waste management and remediation activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","4.7"
"2020","Energy intensity level of primary energy","Water supply; sewerage, waste management and remediation activities","Terajoules per million pounds (TJ/£ million)","Units","Normal value","4.5999999999999996"
"2018","Energy intensity level of primary energy","Wholesale and retail trade; repair of motor vehicles and motorcycles","Terajoules per million pounds (TJ/£ million)","Units","Normal value","2"
"2019","Energy intensity level of primary energy","Wholesale and retail trade; repair of motor vehicles and motorcycles","Terajoules per million pounds (TJ/£ million)","Units","Normal value","2"
"2020","Energy intensity level of primary energy","Wholesale and retail trade; repair of motor vehicles and motorcycles","Terajoules per million pounds (TJ/£ million)","Units","Normal value","1.9"
