ReportingPeriod_Data,Area_Data,DrugGroup_Data,Gender_Data,AgeGroup_Data,Num_InTreatment_AllInTx,Eth_White_AllInTx,Eth_Mixed_AllInTx,Eth_Asian_AllInTx,Eth_Black_AllInTx,Eth_Other_AllInTx
2009/10,England,alcohol & non-opiates,F,Total,7853,6755,243,83,305,33
2009/10,England,alcohol & non-opiates,F,18-29,3215,2785,112,42,109,13
2009/10,England,alcohol & non-opiates,F,30-49,4061,3469,126,37,179,17
2009/10,England,alcohol & non-opiates,F,50+,577,501,5,4,17,3
2010/11,England,Total,Total,Total,309000,269874,5508,9417,7121,2170
2010/11,England,Total,Total,18-29,77320,67187,1905,2780,1809,585
2010/11,England,Total,Total,30-49,192836,168070,3226,5806,4550,1343
2010/11,England,Total,Total,50+,38844,34617,377,831,762,242
2010/11,England,Total,M,Total,216873,186623,3855,8519,5522,1794
2010/11,England,Total,M,18-29,52774,45100,1308,2462,1404,466
2010/11,England,Total,M,30-49,138068,118707,2289,5293,3503,1134
2010/11,England,Total,M,50+,26031,22816,258,764,615,194
2010/11,England,Total,F,Total,92127,83251,1653,898,1599,376
2010/11,England,Total,F,18-29,24546,22087,597,318,405,119
2010/11,England,Total,F,30-49,54768,49363,937,513,1047,209
2010/11,England,Total,F,50+,12813,11801,119,67,147,48
2010/11,England,opiates,Total,Total,169144,147171,2892,6193,2829,1383
2010/11,England,opiates,Total,18-29,41314,36104,780,1854,418,361
2010/11,England,opiates,Total,30-49,117169,101981,1949,4035,2127,875
2010/11,England,opiates,Total,50+,10661,9086,163,304,284,147
2010/11,England,opiates,M,Total,122966,105082,2087,5767,2316,1220
2010/11,England,opiates,M,18-29,26615,22681,493,1663,303,299
2010/11,England,opiates,M,30-49,88275,75661,1467,3813,1759,787
2010/11,England,opiates,M,50+,8076,6740,127,291,254,134
2010/11,England,opiates,F,Total,46178,42089,805,426,513,163
2010/11,England,opiates,F,18-29,14699,13423,287,191,115,62
2010/11,England,opiates,F,30-49,28894,26320,482,222,368,88
2010/11,England,opiates,F,50+,2585,2346,36,13,30,13
2010/11,England,non-opiates only,Total,Total,23613,19112,917,797,1829,219
2010/11,England,non-opiates only,Total,18-29,12959,10671,557,451,787,107
2010/11,England,non-opiates only,Total,30-49,9600,7632,332,330,897,100
2010/11,England,non-opiates only,Total,50+,1054,809,28,16,145,12
2010/11,England,non-opiates only,M,Total,18002,14366,693,713,1511,167
2010/11,England,non-opiates only,M,18-29,10224,8309,444,412,686,81
2010/11,England,non-opiates only,M,30-49,7089,5556,230,286,708,80
2010/11,England,non-opiates only,M,50+,689,501,19,15,117,6
2010/11,England,non-opiates only,F,Total,5611,4746,224,84,318,52
2010/11,England,non-opiates only,F,18-29,2735,2362,113,39,101,26
2010/11,England,non-opiates only,F,30-49,2511,2076,102,44,189,20
2010/11,England,non-opiates only,F,50+,365,308,9,1,28,6
2010/11,England,alcohol only,Total,Total,88020,79567,920,1816,1211,405
2010/11,England,alcohol only,Total,18-29,11819,10661,202,196,211,61
2010/11,England,alcohol only,Total,30-49,51192,45945,570,1145,784,274
2010/11,England,alcohol only,Total,50+,25009,22961,148,475,216,70
2010/11,England,alcohol only,M,Total,55307,49647,558,1523,742,275
2010/11,England,alcohol only,M,18-29,7703,6942,130,154,125,40
2010/11,England,alcohol only,M,30-49,31880,28401,342,942,472,190
2010/11,England,alcohol only,M,50+,15724,14304,86,427,145,45
2010/11,England,alcohol only,F,Total,32713,29920,362,293,469,130
2010/11,England,alcohol only,F,18-29,4116,3719,72,42,86,21
2010/11,England,alcohol only,F,30-49,19312,17544,228,203,312,84
2010/11,England,alcohol only,F,50+,9285,8657,62,48,71,25
2010/11,England,alcohol & non-opiates,Total,Total,28223,24024,779,611,1252,163
2010/11,England,alcohol & non-opiates,Total,18-29,11228,9751,366,279,393,56
2010/11,England,alcohol & non-opiates,Total,30-49,14875,12512,375,296,742,94
2010/11,England,alcohol & non-opiates,Total,50+,2120,1761,38,36,117,13
2010/11,England,alcohol & non-opiates,M,Total,20598,17528,517,516,953,132
2010/11,England,alcohol & non-opiates,M,18-29,8232,7168,241,233,290,46
2010/11,England,alcohol & non-opiates,M,30-49,10824,9089,250,252,564,77
2010/11,England,alcohol & non-opiates,M,50+,1542,1271,26,31,99,9
2010/11,England,alcohol & non-opiates,F,Total,7625,6496,262,95,299,31
2010/11,England,alcohol & non-opiates,F,18-29,2996,2583,125,46,103,10
2010/11,England,alcohol & non-opiates,F,30-49,4051,3423,125,44,178,17
2010/11,England,alcohol & non-opiates,F,50+,578,490,12,5,18,4
2011/12,England,Total,Total,Total,299565,262738,5353,9161,6735,2075
2011/12,England,Total,Total,18-29,68381,59552,1844,2302,1638,537
2011/12,England,Total,Total,30-49,190562,166889,3132,6003,4265,1274
2011/12,England,Total,Total,50+,40622,36297,377,856,832,264
2011/12,England,Total,M,Total,209386,180775,3749,8309,5217,1734
2011/12,England,Total,M,18-29,46360,39702,1239,2035,1246,433
2011/12,England,Total,M,30-49,135709,117094,2242,5493,3294,1088
2011/12,England,Total,M,50+,27317,23979,268,781,677,213
2011/12,England,Total,F,Total,90179,81963,1604,852,1518,341
2011/12,England,Total,F,18-29,22021,19850,605,267,392,104
2011/12,England,Total,F,30-49,54853,49795,890,510,971,186
2011/12,England,Total,F,50+,13305,12318,109,75,155,51
2011/12,England,opiates,Total,Total,162435,142285,2742,5896,2613,1329
2011/12,England,opiates,Total,18-29,33890,29861,677,1412,339,332
2011/12,England,opiates,Total,30-49,116736,102306,1896,4161,1922,840
2011/12,England,opiates,Total,50+,11809,10118,169,323,352,157
2011/12,England,opiates,M,Total,117946,101439,1979,5518,2157,1169
2011/12,England,opiates,M,18-29,21390,18387,418,1265,234,269
2011/12,England,opiates,M,30-49,87529,75476,1425,3945,1598,762
2011/12,England,opiates,M,50+,9027,7576,136,308,325,138
2011/12,England,opiates,F,Total,44489,40846,763,378,456,160
2011/12,England,opiates,F,18-29,12500,11474,259,147,105,63
2011/12,England,opiates,F,30-49,29207,26830,471,216,324,78
2011/12,England,opiates,F,50+,2782,2542,33,15,27,19
2011/12,England,non-opiates only,Total,Total,22982,18517,910,842,1774,202
2011/12,England,non-opiates only,Total,18-29,12554,10293,575,450,757,92
2011/12,England,non-opiates only,Total,30-49,9353,7393,312,374,870,99
2011/12,England,non-opiates only,Total,50+,1075,831,23,18,147,11
2011/12,England,non-opiates only,M,Total,17590,13953,686,750,1474,155
2011/12,England,non-opiates only,M,18-29,9892,8014,440,413,640,78
2011/12,England,non-opiates only,M,30-49,6957,5392,226,324,710,73
2011/12,England,non-opiates only,M,50+,741,547,20,13,124,4
2011/12,England,non-opiates only,F,Total,5392,4564,224,92,300,47
2011/12,England,non-opiates only,F,18-29,2662,2279,135,37,117,14
2011/12,England,non-opiates only,F,30-49,2396,2001,86,50,160,26
2011/12,England,non-opiates only,F,50+,334,284,3,5,23,7
2011/12,England,alcohol only,Total,Total,86416,78219,931,1806,1181,396
2011/12,England,alcohol only,Total,18-29,11017,9916,219,179,180,61
2011/12,England,alcohol only,Total,30-49,49789,44764,558,1147,774,251
2011/12,England,alcohol only,Total,50+,25610,23539,154,480,227,84
2011/12,England,alcohol only,M,Total,53403,47945,556,1516,687,284
2011/12,England,alcohol only,M,18-29,7018,6321,123,139,100,42
2011/12,England,alcohol only,M,30-49,30444,27140,338,947,446,180
2011/12,England,alcohol only,M,50+,15941,14484,95,430,141,62
2011/12,England,alcohol only,F,Total,33013,30274,375,290,494,112
2011/12,England,alcohol only,F,18-29,3999,3595,96,40,80,19
2011/12,England,alcohol only,F,30-49,19345,17624,220,200,328,71
2011/12,England,alcohol only,F,50+,9669,9055,59,50,86,22
2011/12,England,alcohol & non-opiates,Total,Total,27732,23717,770,617,1167,148
2011/12,England,alcohol & non-opiates,Total,18-29,10920,9482,373,261,362,52
2011/12,England,alcohol & non-opiates,Total,30-49,14684,12426,366,321,699,84
2011/12,England,alcohol & non-opiates,Total,50+,2128,1809,31,35,106,12
2011/12,England,alcohol & non-opiates,M,Total,20447,17438,528,525,899,126
2011/12,England,alcohol & non-opiates,M,18-29,8060,6980,258,218,272,44
2011/12,England,alcohol & non-opiates,M,30-49,10779,9086,253,277,540,73
2011/12,England,alcohol & non-opiates,M,50+,1608,1372,17,30,87,9
2011/12,England,alcohol & non-opiates,F,Total,7285,6279,242,92,268,22
2011/12,England,alcohol & non-opiates,F,18-29,2860,2502,115,43,90,8
2011/12,England,alcohol & non-opiates,F,30-49,3905,3340,113,44,159,11
2011/12,England,alcohol & non-opiates,F,50+,520,437,14,5,19,3
2012/13,England,Total,Total,Total,297105,260701,5317,9167,6648,2109
2012/13,England,Total,Total,18-29,62326,54145,1685,2078,1600,519
2012/13,England,Total,Total,30-49,190958,167421,3190,6187,4107,1322
2012/13,England,Total,Total,50+,43821,39135,442,902,941,268
2012/13,England,Total,M,Total,208103,179763,3706,8353,5146,1762
2012/13,England,Total,M,18-29,42261,36043,1120,1874,1217,419
2012/13,England,Total,M,30-49,136352,117798,2267,5658,3173,1131
2012/13,England,Total,M,50+,29490,25922,319,821,756,212
2012/13,England,Total,F,Total,89002,80938,1611,814,1502,347
2012/13,England,Total,F,18-29,20065,18102,565,204,383,100
2012/13,England,Total,F,30-49,54606,49623,923,529,934,191
2012/13,England,Total,F,50+,14331,13213,123,81,185,56
2012/13,England,opiates,Total,Total,157959,138413,2677,5751,2483,1294
2012/13,England,opiates,Total,18-29,28407,25046,559,1158,263,281
2012/13,England,opiates,Total,30-49,116467,102179,1921,4257,1817,844
2012/13,England,opiates,Total,50+,13085,11188,197,336,403,169
2012/13,England,opiates,M,Total,114907,98874,1939,5411,2038,1149
2012/13,England,opiates,M,18-29,17796,15290,343,1063,171,231
2012/13,England,opiates,M,30-49,87127,75214,1438,4025,1497,777
2012/13,England,opiates,M,50+,9984,8370,158,323,370,141
2012/13,England,opiates,F,Total,43052,39539,738,340,445,145
2012/13,England,opiates,F,18-29,10611,9756,216,95,92,50
2012/13,England,opiates,F,30-49,29340,26965,483,232,320,67
2012/13,England,opiates,F,50+,3101,2818,39,13,33,28
2012/13,England,non-opiates only,Total,Total,23975,19420,926,930,1665,213
2012/13,England,non-opiates only,Total,18-29,13057,10697,578,485,727,115
2012/13,England,non-opiates only,Total,30-49,9803,7854,321,422,790,91
2012/13,England,non-opiates only,Total,50+,1115,869,27,23,148,7
2012/13,England,non-opiates only,M,Total,18360,14636,680,841,1382,163
2012/13,England,non-opiates only,M,18-29,10263,8296,427,449,614,92
2012/13,England,non-opiates only,M,30-49,7384,5819,231,375,642,68
2012/13,England,non-opiates only,M,50+,713,521,22,17,126,3
2012/13,England,non-opiates only,F,Total,5615,4784,246,89,283,50
2012/13,England,non-opiates only,F,18-29,2794,2401,151,36,113,23
2012/13,England,non-opiates only,F,30-49,2419,2035,90,47,148,23
2012/13,England,non-opiates only,F,50+,402,348,5,6,22,4
2012/13,England,alcohol only,Total,Total,87544,79202,964,1896,1277,430
2012/13,England,alcohol only,Total,18-29,10321,9267,202,197,212,56
2012/13,England,alcohol only,Total,30-49,49909,44841,585,1183,790,294
2012/13,England,alcohol only,Total,50+,27314,25094,177,516,275,80
2012/13,England,alcohol only,M,Total,54350,48725,579,1595,784,303
2012/13,England,alcohol only,M,18-29,6443,5750,114,158,133,35
2012/13,England,alcohol only,M,30-49,30853,27452,351,976,483,210
2012/13,England,alcohol only,M,50+,17054,15523,114,461,168,58
2012/13,England,alcohol only,F,Total,33194,30477,385,301,493,127
2012/13,England,alcohol only,F,18-29,3878,3517,88,39,79,21
2012/13,England,alcohol only,F,30-49,19056,17389,234,207,307,84
2012/13,England,alcohol only,F,50+,10260,9571,63,55,107,22
2012/13,England,alcohol & non-opiates,Total,Total,27627,23666,750,590,1223,172
2012/13,England,alcohol & non-opiates,Total,18-29,10541,9135,346,238,398,67
2012/13,England,alcohol & non-opiates,Total,30-49,14779,12547,363,325,710,93
2012/13,England,alcohol & non-opiates,Total,50+,2307,1984,41,27,115,12
2012/13,England,alcohol & non-opiates,M,Total,20486,17528,508,506,942,147
2012/13,England,alcohol & non-opiates,M,18-29,7759,6707,236,204,299,61
2012/13,England,alcohol & non-opiates,M,30-49,10988,9313,247,282,551,76
2012/13,England,alcohol & non-opiates,M,50+,1739,1508,25,20,92,10
2012/13,England,alcohol & non-opiates,F,Total,7141,6138,242,84,281,25
2012/13,England,alcohol & non-opiates,F,18-29,2782,2428,110,34,99,6
2012/13,England,alcohol & non-opiates,F,30-49,3791,3234,116,43,159,17
2012/13,England,alcohol & non-opiates,F,50+,568,476,16,7,23,2
2013/14,England,Total,Total,Total,301944,265458,5548,9599,6896,2240
2013/14,England,Total,Total,18-29,58562,50880,1651,1986,1559,505
2013/14,England,Total,Total,30-49,194143,170521,3379,6597,4228,1421
2013/14,England,Total,Total,50+,49239,44057,518,1016,1109,314
2013/14,England,Total,M,Total,211542,182997,3943,8763,5308,1865
2013/14,England,Total,M,18-29,39685,33873,1149,1773,1163,409
2013/14,England,Total,M,30-49,138601,119899,2415,6047,3245,1211
2013/14,England,Total,M,50+,33256,29225,379,943,900,245
2013/14,England,Total,F,Total,90402,82461,1605,836,1588,375
2013/14,England,Total,F,18-29,18877,17007,502,213,396,96
2013/14,England,Total,F,30-49,55542,50622,964,550,983,210
2013/14,England,Total,F,50+,15983,14832,139,73,209,69
2013/14,England,opiates,Total,Total,155852,136776,2714,5861,2463,1332
2013/14,England,opiates,Total,18-29,24277,21508,482,984,199,263
2013/14,England,opiates,Total,30-49,116736,102584,1987,4501,1780,884
2013/14,England,opiates,Total,50+,14839,12684,245,376,484,185
2013/14,England,opiates,M,Total,113890,98096,2016,5538,2031,1184
2013/14,England,opiates,M,18-29,15096,12988,312,905,133,221
2013/14,England,opiates,M,30-49,87395,75565,1504,4266,1454,806
2013/14,England,opiates,M,50+,11399,9543,200,367,444,157
2013/14,England,opiates,F,Total,41962,38680,698,323,432,148
2013/14,England,opiates,F,18-29,9181,8520,170,79,66,42
2013/14,England,opiates,F,30-49,29341,27019,483,235,326,78
2013/14,England,opiates,F,50+,3440,3141,45,9,40,28
2013/14,England,non-opiates only,Total,Total,25570,20807,982,1012,1689,220
2013/14,England,non-opiates only,Total,18-29,13617,11237,608,538,701,103
2013/14,England,non-opiates only,Total,30-49,10696,8560,356,454,829,110
2013/14,England,non-opiates only,Total,50+,1257,1010,18,20,159,7
2013/14,England,non-opiates only,M,Total,19579,15661,745,927,1403,182
2013/14,England,non-opiates only,M,18-29,10650,8680,463,500,593,84
2013/14,England,non-opiates only,M,30-49,8090,6342,270,408,679,94
2013/14,England,non-opiates only,M,50+,839,639,12,19,131,4
2013/14,England,non-opiates only,F,Total,5991,5146,237,85,286,38
2013/14,England,non-opiates only,F,18-29,2967,2557,145,38,108,19
2013/14,England,non-opiates only,F,30-49,2606,2218,86,46,150,16
2013/14,England,non-opiates only,F,50+,418,371,6,1,28,3
2013/14,England,alcohol only,Total,Total,91651,82943,1057,2106,1491,511
2013/14,England,alcohol only,Total,18-29,10173,9065,202,203,234,66
2013/14,England,alcohol only,Total,30-49,50997,45821,645,1306,930,335
2013/14,England,alcohol only,Total,50+,30481,28057,210,597,327,110
2013/14,England,alcohol only,M,Total,56747,50872,632,1770,904,360
2013/14,England,alcohol only,M,18-29,6292,5614,123,152,117,43
2013/14,England,alcohol only,M,30-49,31434,27944,371,1081,576,241
2013/14,England,alcohol only,M,50+,19021,17314,138,537,211,76
2013/14,England,alcohol only,F,Total,34904,32071,425,336,587,151
2013/14,England,alcohol only,F,18-29,3881,3451,79,51,117,23
2013/14,England,alcohol only,F,30-49,19563,17877,274,225,354,94
2013/14,England,alcohol only,F,50+,11460,10743,72,60,116,34
2013/14,England,alcohol & non-opiates,Total,Total,28871,24932,795,620,1253,177
2013/14,England,alcohol & non-opiates,Total,18-29,10495,9070,359,261,425,73
2013/14,England,alcohol & non-opiates,Total,30-49,15714,13556,391,336,689,92
2013/14,England,alcohol & non-opiates,Total,50+,2662,2306,45,23,139,12
2013/14,England,alcohol & non-opiates,M,Total,21326,18368,550,528,970,139
2013/14,England,alcohol & non-opiates,M,18-29,7647,6591,251,216,320,61
2013/14,England,alcohol & non-opiates,M,30-49,11682,10048,270,292,536,70
2013/14,England,alcohol & non-opiates,M,50+,1997,1729,29,20,114,8
2013/14,England,alcohol & non-opiates,F,Total,7545,6564,245,92,283,38
2013/14,England,alcohol & non-opiates,F,18-29,2848,2479,108,45,105,12
2013/14,England,alcohol & non-opiates,F,30-49,4032,3508,121,44,153,22
2013/14,England,alcohol & non-opiates,F,50+,665,577,16,3,25,4
2014/15,England,Total,Total,Total,295224,259251,5399,9486,6735,2226
2014/15,England,Total,Total,18-29,53231,46249,1513,1776,1447,462
2014/15,England,Total,Total,30-49,189622,166351,3280,6648,4007,1416
2014/15,England,Total,Total,50+,52371,46651,606,1062,1281,348
2014/15,England,Total,M,Total,206298,178218,3765,8689,5178,1853
2014/15,England,Total,M,18-29,35953,30752,1030,1581,1059,368
2014/15,England,Total,M,30-49,134776,116362,2288,6125,3081,1207
2014/15,England,Total,M,50+,35569,31104,447,983,1038,278
2014/15,England,Total,F,Total,88926,81033,1634,797,1557,373
2014/15,England,Total,F,18-29,17278,15497,483,195,388,94
2014/15,England,Total,F,30-49,54846,49989,992,523,926,209
2014/15,England,Total,F,50+,16802,15547,159,79,243,70
2014/15,England,opiates,Total,Total,152964,134078,2706,5908,2466,1305
2014/15,England,opiates,Total,18-29,20946,18517,422,889,157,239
2014/15,England,opiates,Total,30-49,115205,101155,2008,4608,1729,863
2014/15,England,opiates,Total,50+,16813,14406,276,411,580,203
2014/15,England,opiates,M,Total,111779,96102,1992,5585,2051,1170
2014/15,England,opiates,M,18-29,13024,11177,267,821,106,200
2014/15,England,opiates,M,30-49,85848,74086,1501,4368,1418,791
2014/15,England,opiates,M,50+,12907,10839,224,396,527,179
2014/15,England,opiates,F,Total,41185,37976,714,323,415,135
2014/15,England,opiates,F,18-29,7922,7340,155,68,51,39
2014/15,England,opiates,F,30-49,29357,27069,507,240,311,72
2014/15,England,opiates,F,50+,3906,3567,52,15,53,24
2014/15,England,non-opiates only,Total,Total,25025,20561,894,913,1567,224
2014/15,England,non-opiates only,Total,18-29,13095,10900,532,465,675,103
2014/15,England,non-opiates only,Total,30-49,10488,8509,332,422,732,107
2014/15,England,non-opiates only,Total,50+,1442,1152,30,26,160,14
2014/15,England,non-opiates only,M,Total,18867,15230,653,834,1303,174
2014/15,England,non-opiates only,M,18-29,10072,8302,393,425,553,83
2014/15,England,non-opiates only,M,30-49,7860,6220,241,384,616,87
2014/15,England,non-opiates only,M,50+,935,708,19,25,134,4
2014/15,England,non-opiates only,F,Total,6158,5331,241,79,264,50
2014/15,England,non-opiates only,F,18-29,3023,2598,139,40,122,20
2014/15,England,non-opiates only,F,30-49,2628,2289,91,38,116,20
2014/15,England,non-opiates only,F,50+,507,444,11,1,26,10
2014/15,England,alcohol only,Total,Total,89107,80294,1013,2066,1512,511
2014/15,England,alcohol only,Total,18-29,9088,8052,195,189,215,58
2014/15,England,alcohol only,Total,30-49,48624,43482,570,1280,897,335
2014/15,England,alcohol only,Total,50+,31395,28760,248,597,400,118
2014/15,England,alcohol only,M,Total,54973,49058,571,1752,931,357
2014/15,England,alcohol only,M,18-29,5583,4966,106,147,118,36
2014/15,England,alcohol only,M,30-49,29729,26293,301,1071,549,238
2014/15,England,alcohol only,M,50+,19661,17799,164,534,264,83
2014/15,England,alcohol only,F,Total,34134,31236,442,314,581,154
2014/15,England,alcohol only,F,18-29,3505,3086,89,42,97,22
2014/15,England,alcohol only,F,30-49,18895,17189,269,209,348,97
2014/15,England,alcohol only,F,50+,11734,10961,84,63,136,35
2014/15,England,alcohol & non-opiates,Total,Total,28128,24318,786,599,1190,186
2014/15,England,alcohol & non-opiates,Total,18-29,10102,8780,364,233,400,62
2014/15,England,alcohol & non-opiates,Total,30-49,15305,13205,370,338,649,111
2014/15,England,alcohol & non-opiates,Total,50+,2721,2333,52,28,141,13
2014/15,England,alcohol & non-opiates,M,Total,20679,17828,549,518,893,152
2014/15,England,alcohol & non-opiates,M,18-29,7274,6307,264,188,282,49
2014/15,England,alcohol & non-opiates,M,30-49,11339,9763,245,302,498,91
2014/15,England,alcohol & non-opiates,M,50+,2066,1758,40,28,113,12
2014/15,England,alcohol & non-opiates,F,Total,7449,6490,237,81,297,34
2014/15,England,alcohol & non-opiates,F,18-29,2828,2473,100,45,118,13
2014/15,England,alcohol & non-opiates,F,30-49,3966,3442,125,36,151,20
2014/15,England,alcohol & non-opiates,F,50+,655,575,12,0,28,1
2015/16,England,Total,Total,Total,288843,253078,5414,9518,6692,2204
2015/16,England,Total,Total,18-29,49127,42546,1449,1587,1360,440
2015/16,England,Total,Total,30-49,185403,162442,3327,6786,3828,1429
2015/16,England,Total,Total,50+,54313,48090,638,1145,1504,335
2015/16,England,Total,M,Total,201215,173425,3682,8695,5114,1846
2015/16,England,Total,M,18-29,33217,28343,949,1404,1000,357
2015/16,England,Total,M,30-49,131357,113280,2275,6243,2893,1222
2015/16,England,Total,M,50+,36641,31802,458,1048,1221,267
2015/16,England,Total,F,Total,87628,79653,1732,823,1578,358
2015/16,England,Total,F,18-29,15910,14203,500,183,360,83
2015/16,England,Total,F,30-49,54046,49162,1052,543,935,207
2015/16,England,Total,F,50+,17672,16288,180,97,283,68
2015/16,England,opiates,Total,Total,149807,131273,2718,5846,2461,1280
2015/16,England,opiates,Total,18-29,18038,15924,383,733,151,222
2015/16,England,opiates,Total,30-49,112897,99205,2023,4645,1612,862
2015/16,England,opiates,Total,50+,18872,16144,312,468,698,196
2015/16,England,opiates,M,Total,109366,93945,2003,5550,2041,1139
2015/16,England,opiates,M,18-29,11157,9562,248,679,100,183
2015/16,England,opiates,M,30-49,83693,72225,1506,4419,1309,784
2015/16,England,opiates,M,50+,14516,12158,249,452,632,172
2015/16,England,opiates,F,Total,40441,37328,715,296,420,141
2015/16,England,opiates,F,18-29,6881,6362,135,54,51,39
2015/16,England,opiates,F,30-49,29204,26980,517,226,303,78
2015/16,England,opiates,F,50+,4356,3986,63,16,66,24
2015/16,England,non-opiates only,Total,Total,25814,21406,861,909,1457,262
2015/16,England,non-opiates only,Total,18-29,13087,10999,512,412,627,112
2015/16,England,non-opiates only,Total,30-49,10993,8993,313,473,651,132
2015/16,England,non-opiates only,Total,50+,1734,1414,36,24,179,18
2015/16,England,non-opiates only,M,Total,19184,15685,600,790,1210,198
2015/16,England,non-opiates only,M,18-29,10042,8378,364,358,523,90
2015/16,England,non-opiates only,M,30-49,8091,6507,213,411,530,98
2015/16,England,non-opiates only,M,50+,1051,800,23,21,157,10
2015/16,England,non-opiates only,F,Total,6630,5721,261,119,247,64
2015/16,England,non-opiates only,F,18-29,3045,2621,148,54,104,22
2015/16,England,non-opiates only,F,30-49,2902,2486,100,62,121,34
2015/16,England,non-opiates only,F,50+,683,614,13,3,22,8
2015/16,England,alcohol only,Total,Total,85035,76115,1004,2147,1596,480
2015/16,England,alcohol only,Total,18-29,8137,7065,187,204,224,57
2015/16,England,alcohol only,Total,30-49,46019,40955,580,1318,902,320
2015/16,England,alcohol only,Total,50+,30879,28095,237,625,470,103
2015/16,England,alcohol only,M,Total,51798,45849,525,1806,977,349
2015/16,England,alcohol only,M,18-29,4915,4248,91,161,127,40
2015/16,England,alcohol only,M,30-49,27955,24591,291,1097,547,238
2015/16,England,alcohol only,M,50+,18928,17010,143,548,303,71
2015/16,England,alcohol only,F,Total,33237,30266,479,341,619,131
2015/16,England,alcohol only,F,18-29,3222,2817,96,43,97,17
2015/16,England,alcohol only,F,30-49,18064,16364,289,221,355,82
2015/16,England,alcohol only,F,50+,11951,11085,94,77,167,32
