ReportingPeriod_Data,Area_Data,DrugGroup_Data,Gender_Data,AgeGroup_Data,Num_InTreatment_AllInTx,Eth_White_AllInTx,Eth_Mixed_AllInTx,Eth_Asian_AllInTx,Eth_Black_AllInTx,Eth_Other_AllInTx
2009/10,England,Total,Total,Total,311668,272788,5458,9136,7214,2127
2009/10,England,Total,Total,18-29,85310,74336,1965,3043,1892,597
2009/10,England,Total,Total,30-49,189694,165663,3164,5391,4625,1282
2009/10,England,Total,Total,50+,36664,32789,329,702,697,248
2009/10,England,Total,M,Total,218933,188955,3819,8278,5500,1722
2009/10,England,Total,M,18-29,58396,50126,1327,2717,1416,488
2009/10,England,Total,M,30-49,136060,117286,2255,4911,3533,1047
2009/10,England,Total,M,50+,24477,21543,237,650,551,187
2009/10,England,Total,F,Total,92735,83833,1639,858,1714,405
2009/10,England,Total,F,18-29,26914,24210,638,326,476,109
2009/10,England,Total,F,30-49,53634,48377,909,480,1092,235
2009/10,England,Total,F,50+,12187,11246,92,52,146,61
2009/10,England,opiates,Total,Total,170032,147714,2919,6179,2909,1419
2009/10,England,opiates,Total,18-29,47650,41572,877,2163,499,401
2009/10,England,opiates,Total,30-49,112835,98032,1902,3737,2153,879
2009/10,England,opiates,Total,50+,9547,8110,140,279,257,139
2009/10,England,opiates,M,Total,123629,105510,2103,5781,2364,1213
2009/10,England,opiates,M,18-29,31239,26608,541,1970,368,337
2009/10,England,opiates,M,30-49,85174,72895,1453,3543,1769,754
2009/10,England,opiates,M,50+,7216,6007,109,268,227,122
2009/10,England,opiates,F,Total,46403,42204,816,398,545,206
2009/10,England,opiates,F,18-29,16411,14964,336,193,131,64
2009/10,England,opiates,F,30-49,27661,25137,449,194,384,125
2009/10,England,opiates,F,50+,2331,2103,31,11,30,17
2009/10,England,non-opiates only,Total,Total,24557,19898,914,747,1936,205
2009/10,England,non-opiates only,Total,18-29,13267,11005,539,420,824,94
2009/10,England,non-opiates only,Total,30-49,10181,8053,340,316,970,95
2009/10,England,non-opiates only,Total,50+,1109,840,35,11,142,16
2009/10,England,non-opiates only,M,Total,18595,14913,692,666,1534,154
2009/10,England,non-opiates only,M,18-29,10361,8527,425,378,662,76
2009/10,England,non-opiates only,M,30-49,7482,5838,242,278,752,71
2009/10,England,non-opiates only,M,50+,752,548,25,10,120,7
2009/10,England,non-opiates only,F,Total,5962,4985,222,81,402,51
2009/10,England,non-opiates only,F,18-29,2906,2478,114,42,162,18
2009/10,England,non-opiates only,F,30-49,2699,2215,98,38,218,24
2009/10,England,non-opiates only,F,50+,357,292,10,1,22,9
2009/10,England,alcohol only,Total,Total,88087,80303,848,1687,1142,364
2009/10,England,alcohol only,Total,18-29,12559,11424,176,220,175,52
2009/10,England,alcohol only,Total,30-49,51575,46790,546,1076,765,229
2009/10,England,alcohol only,Total,50+,23953,22089,126,391,202,83
2009/10,England,alcohol only,M,Total,55570,50414,490,1391,680,249
2009/10,England,alcohol only,M,18-29,8177,7441,100,171,101,38
2009/10,England,alcohol only,M,30-49,32362,29234,310,865,454,160
2009/10,England,alcohol only,M,50+,15031,13739,80,355,125,51
2009/10,England,alcohol only,F,Total,32517,29889,358,296,462,115
2009/10,England,alcohol only,F,18-29,4382,3983,76,49,74,14
2009/10,England,alcohol only,F,30-49,19213,17556,236,211,311,69
2009/10,England,alcohol only,F,50+,8922,8350,46,36,77,32
2009/10,England,alcohol & non-opiates,Total,Total,28992,24873,777,523,1227,139
2009/10,England,alcohol & non-opiates,Total,18-29,11834,10335,373,240,394,50
2009/10,England,alcohol & non-opiates,Total,30-49,15103,12788,376,262,737,79
2009/10,England,alcohol & non-opiates,Total,50+,2055,1750,28,21,96,10
2009/10,England,alcohol & non-opiates,M,Total,21139,18118,534,440,922,106
2009/10,England,alcohol & non-opiates,M,18-29,8619,7550,261,198,285,37
2009/10,England,alcohol & non-opiates,M,30-49,11042,9319,250,225,558,62
2009/10,England,alcohol & non-opiates,M,50+,1478,1249,23,17,79,7
