"Year","Country","Suspected source","Observation status","Value"
2016,"Northern Ireland","medical","Low reliability",1
2016,"Northern Ireland","public","Low reliability",182
2016,"Northern Ireland","sewage related debris","Low reliability",2
2016,"Northern Ireland","shipping","Low reliability",122
2017,"Northern Ireland","fishing","Low reliability",42
2017,"Northern Ireland","fly-tipped","Low reliability",0
2017,"Northern Ireland","medical","Low reliability",0
2017,"Northern Ireland","public","Low reliability",103
2017,"Northern Ireland","sewage related debris","Low reliability",21
2017,"Northern Ireland","shipping","Low reliability",15
2018,"Northern Ireland","fishing","Low reliability",18
2018,"Northern Ireland","fly-tipped","Low reliability",0
2018,"Northern Ireland","medical","Low reliability",0
2018,"Northern Ireland","public","Low reliability",35
2018,"Northern Ireland","sewage related debris","Low reliability",6
2018,"Northern Ireland","shipping","Low reliability",4
2019,"Northern Ireland","fishing","Low reliability",52
2019,"Northern Ireland","fly-tipped","Low reliability",0
2019,"Northern Ireland","medical","Low reliability",0
2019,"Northern Ireland","public","Low reliability",66
2019,"Northern Ireland","sewage related debris","Low reliability",4
2019,"Northern Ireland","shipping","Low reliability",13
2020,"Northern Ireland","fishing","Low reliability",191
2020,"Northern Ireland","fly-tipped","Low reliability",4
2020,"Northern Ireland","medical","Low reliability",4.5
2020,"Northern Ireland","public","Low reliability",447.5
2020,"Northern Ireland","sewage related debris","Low reliability",33
2020,"Northern Ireland","shipping","Low reliability",33.5
2021,"Northern Ireland","fishing","Low reliability",36
2021,"Northern Ireland","fly-tipped","Low reliability",0
2021,"Northern Ireland","medical","Low reliability",3
2021,"Northern Ireland","public","Low reliability",352
2021,"Northern Ireland","sewage related debris","Low reliability",7
2021,"Northern Ireland","shipping","Low reliability",10
2008,"Scotland","fishing","Low reliability",30
2008,"Scotland","fly-tipped","Low reliability",0
2008,"Scotland","medical","Low reliability",0
2008,"Scotland","public","Low reliability",79.5
2008,"Scotland","sewage related debris","Low reliability",15.5
2008,"Scotland","shipping","Low reliability",5.5
2009,"Scotland","fishing","Low reliability",22.5
2009,"Scotland","fly-tipped","Low reliability",0
2009,"Scotland","medical","Low reliability",0
2009,"Scotland","public","Low reliability",112.5
2009,"Scotland","sewage related debris","Low reliability",4.5
2009,"Scotland","shipping","Low reliability",4
2010,"Scotland","fishing","Low reliability",42.5
2010,"Scotland","fly-tipped","Low reliability",0
2010,"Scotland","medical","Low reliability",0
2010,"Scotland","public","Low reliability",143
2010,"Scotland","sewage related debris","Low reliability",13.5
2010,"Scotland","shipping","Low reliability",11
2011,"Scotland","fishing","Low reliability",32.5
2011,"Scotland","fly-tipped","Low reliability",0
2011,"Scotland","medical","Low reliability",0
2011,"Scotland","public","Low reliability",116.5
2011,"Scotland","sewage related debris","Low reliability",6
2011,"Scotland","shipping","Low reliability",6
2012,"Scotland","fishing","Low reliability",24
2012,"Scotland","fly-tipped","Low reliability",0
2012,"Scotland","medical","Low reliability",0
2012,"Scotland","public","Low reliability",83
2012,"Scotland","sewage related debris","Low reliability",9
2012,"Scotland","shipping","Low reliability",8
2013,"Scotland","fishing","Low reliability",28
2013,"Scotland","fly-tipped","Low reliability",0
2013,"Scotland","medical","Low reliability",0.5
2013,"Scotland","public","Low reliability",94
2013,"Scotland","sewage related debris","Low reliability",13.5
2013,"Scotland","shipping","Low reliability",9.5
2014,"Scotland","fishing","Low reliability",12
2014,"Scotland","fly-tipped","Low reliability",0
2014,"Scotland","medical","Low reliability",0
2014,"Scotland","public","Low reliability",85
2014,"Scotland","sewage related debris","Low reliability",56
2014,"Scotland","shipping","Low reliability",10
2015,"Scotland","fishing","Normal value",12
2015,"Scotland","fly-tipped","Normal value",0
2015,"Scotland","medical","Normal value",0
2015,"Scotland","public","Normal value",71
2015,"Scotland","sewage related debris","Normal value",12
2015,"Scotland","shipping","Normal value",8
2016,"Scotland","fishing","Normal value",13
2016,"Scotland","fly-tipped","Normal value",0
2016,"Scotland","medical","Normal value",0
2016,"Scotland","public","Normal value",69
2016,"Scotland","sewage related debris","Normal value",7
2016,"Scotland","shipping","Normal value",8
2017,"Scotland","fishing","Normal value",12.5
2017,"Scotland","fly-tipped","Normal value",0
2017,"Scotland","medical","Normal value",0
2017,"Scotland","public","Normal value",58
2017,"Scotland","sewage related debris","Normal value",6
2017,"Scotland","shipping","Normal value",8
2018,"Scotland","fishing","Normal value",15
2018,"Scotland","fly-tipped","Normal value",0
2018,"Scotland","medical","Normal value",0
2018,"Scotland","public","Normal value",46
2018,"Scotland","sewage related debris","Normal value",9
2018,"Scotland","shipping","Normal value",6
2019,"Scotland","fishing","Normal value",8
2019,"Scotland","fly-tipped","Normal value",0
2019,"Scotland","medical","Normal value",0
2019,"Scotland","public","Normal value",32
2019,"Scotland","sewage related debris","Normal value",5.5
2019,"Scotland","shipping","Normal value",3
2020,"Scotland","fishing","Normal value",11
2020,"Scotland","fly-tipped","Normal value",0
2020,"Scotland","medical","Normal value",0
2020,"Scotland","public","Normal value",36
2020,"Scotland","sewage related debris","Normal value",9
2020,"Scotland","shipping","Normal value",4
2021,"Scotland","fishing","Normal value",15
2021,"Scotland","fly-tipped","Normal value",0
2021,"Scotland","medical","Normal value",1
2021,"Scotland","public","Normal value",32.5
2021,"Scotland","sewage related debris","Normal value",4
2021,"Scotland","shipping","Normal value",5
2008,"Wales","fishing","Low reliability",36
2008,"Wales","fly-tipped","Low reliability",0
2008,"Wales","medical","Low reliability",0
2008,"Wales","public","Low reliability",201
2008,"Wales","sewage related debris","Low reliability",9
2008,"Wales","shipping","Low reliability",12
2009,"Wales","fishing","Low reliability",115
2009,"Wales","fly-tipped","Low reliability",0
2009,"Wales","medical","Low reliability",0
2009,"Wales","public","Low reliability",177.5
2009,"Wales","sewage related debris","Low reliability",15
2009,"Wales","shipping","Low reliability",8.5
2010,"Wales","fishing","Low reliability",46
2010,"Wales","fly-tipped","Low reliability",0
2010,"Wales","medical","Low reliability",0
2010,"Wales","public","Low reliability",111
2010,"Wales","sewage related debris","Low reliability",6
2010,"Wales","shipping","Low reliability",5
2011,"Wales","fishing","Low reliability",45
2011,"Wales","fly-tipped","Low reliability",0
2011,"Wales","medical","Low reliability",0
2011,"Wales","public","Low reliability",118.5
2011,"Wales","sewage related debris","Low reliability",8
2011,"Wales","shipping","Low reliability",15.5
2012,"Wales","fishing","Low reliability",104
2012,"Wales","fly-tipped","Low reliability",0
2012,"Wales","medical","Low reliability",1
2012,"Wales","public","Low reliability",112
2012,"Wales","sewage related debris","Low reliability",14
2012,"Wales","shipping","Low reliability",15
2013,"Wales","fishing","Low reliability",58
2013,"Wales","fly-tipped","Low reliability",0
2013,"Wales","medical","Low reliability",0.5
2013,"Wales","public","Low reliability",215
2013,"Wales","sewage related debris","Low reliability",54
