"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Net ODA in support of clean energy research and development and renewable energy production","LDCs","Definition differs","GBP (£ thousands)",3826.452
2016,"Net ODA in support of clean energy research and development and renewable energy production","LDCs","Definition differs","Constant USD ($ thousands)",5504.05332978906
2016,"Net ODA in support of clean energy research and development and renewable energy production","LMICs","Definition differs","GBP (£ thousands)",16370.1023
2016,"Net ODA in support of clean energy research and development and renewable energy production","LMICs","Definition differs","Constant USD ($ thousands)",23547.1178191449
2016,"Net ODA in support of clean energy research and development and renewable energy production","Other LICs","Definition differs","GBP (£ thousands)",815.713
2016,"Net ODA in support of clean energy research and development and renewable energy production","Other LICs","Definition differs","Constant USD ($ thousands)",1173.33965088344
2016,"Net ODA in support of clean energy research and development and renewable energy production","UMICs","Definition differs","GBP (£ thousands)",6010.5029
2016,"Net ODA in support of clean energy research and development and renewable energy production","UMICs","Definition differs","Constant USD ($ thousands)",8645.6405308238
2016,"Net ODA in support of clean energy research and development and renewable energy production","Unspecified","Definition differs","GBP (£ thousands)",102782.9404
2016,"Net ODA in support of clean energy research and development and renewable energy production","Unspecified","Definition differs","Constant USD ($ thousands)",147845.258572205
2016,"Net ODA in support of clean energy research and development and renewable energy production","","Definition differs","GBP (£ thousands)",129805.7106
2016,"Net ODA in support of clean energy research and development and renewable energy production","","Definition differs","Constant USD ($ thousands)",186715.409902846
2017,"Net ODA in support of clean energy research and development and renewable energy production","LDCs","Definition differs","GBP (£ thousands)",10802.171123
2017,"Net ODA in support of clean energy research and development and renewable energy production","LDCs","Definition differs","Constant USD ($ thousands)",15261.7607975459
2017,"Net ODA in support of clean energy research and development and renewable energy production","LMICs","Definition differs","GBP (£ thousands)",11947.208755
2017,"Net ODA in support of clean energy research and development and renewable energy production","LMICs","Definition differs","Constant USD ($ thousands)",16879.518028457
2017,"Net ODA in support of clean energy research and development and renewable energy production","Other LICs","Definition differs","GBP (£ thousands)",1794.8335085
2017,"Net ODA in support of clean energy research and development and renewable energy production","Other LICs","Definition differs","Constant USD ($ thousands)",2535.81612124467
2017,"Net ODA in support of clean energy research and development and renewable energy production","UMICs","Definition differs","GBP (£ thousands)",1360.597272
2017,"Net ODA in support of clean energy research and development and renewable energy production","UMICs","Definition differs","Constant USD ($ thousands)",1922.30893869515
2017,"Net ODA in support of clean energy research and development and renewable energy production","Unspecified","Definition differs","GBP (£ thousands)",27850.8321839
2017,"Net ODA in support of clean energy research and development and renewable energy production","Unspecified","Definition differs","Constant USD ($ thousands)",39348.8247837744
2017,"Net ODA in support of clean energy research and development and renewable energy production","","Definition differs","GBP (£ thousands)",53755.6428424
2017,"Net ODA in support of clean energy research and development and renewable energy production","","Definition differs","Constant USD ($ thousands)",75948.2286697172
