"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Net Official Development Assistance (ODA) to infrastructure","LDCs","Definition differs","GBP (£ thousands)",67188.479
2016,"Net Official Development Assistance (ODA) to infrastructure","LDCs","Definition differs","Constant USD ($ thousands)",96645.397
2016,"Net Official Development Assistance (ODA) to infrastructure","LMICs","Definition differs","GBP (£ thousands)",130169.201
2016,"Net Official Development Assistance (ODA) to infrastructure","LMICs","Definition differs","Constant USD ($ thousands)",187238.262
2016,"Net Official Development Assistance (ODA) to infrastructure","Other LICs","Definition differs","GBP (£ thousands)",19119.769
2016,"Net Official Development Assistance (ODA) to infrastructure","Other LICs","Definition differs","Constant USD ($ thousands)",27502.299
2016,"Net Official Development Assistance (ODA) to infrastructure","UMICs","Definition differs","GBP (£ thousands)",53490.069
2016,"Net Official Development Assistance (ODA) to infrastructure","UMICs","Definition differs","Constant USD ($ thousands)",76941.301
2016,"Net Official Development Assistance (ODA) to infrastructure","Unspecified","Definition differs","GBP (£ thousands)",622466.583
2016,"Net Official Development Assistance (ODA) to infrastructure","Unspecified","Definition differs","Constant USD ($ thousands)",895369.724
2016,"Net Official Development Assistance (ODA) to infrastructure","","Definition differs","GBP (£ thousands)",892434.102
2016,"Net Official Development Assistance (ODA) to infrastructure","","Definition differs","Constant USD ($ thousands)",1283696.983
2017,"Net Official Development Assistance (ODA) to infrastructure","LDCs","Definition differs","GBP (£ thousands)",149255.753
2017,"Net Official Development Assistance (ODA) to infrastructure","LDCs","Definition differs","Constant USD ($ thousands)",210874.792
2017,"Net Official Development Assistance (ODA) to infrastructure","LMICs","Definition differs","GBP (£ thousands)",138192.302
2017,"Net Official Development Assistance (ODA) to infrastructure","LMICs","Definition differs","Constant USD ($ thousands)",195243.885
2017,"Net Official Development Assistance (ODA) to infrastructure","Other LICs","Definition differs","GBP (£ thousands)",19978.232
2017,"Net Official Development Assistance (ODA) to infrastructure","Other LICs","Definition differs","Constant USD ($ thousands)",28226.085
2017,"Net Official Development Assistance (ODA) to infrastructure","UMICs","Definition differs","GBP (£ thousands)",33575.413
2017,"Net Official Development Assistance (ODA) to infrastructure","UMICs","Definition differs","Constant USD ($ thousands)",47436.752
2017,"Net Official Development Assistance (ODA) to infrastructure","Unspecified","Definition differs","GBP (£ thousands)",434146.892
2017,"Net Official Development Assistance (ODA) to infrastructure","Unspecified","Definition differs","Constant USD ($ thousands)",613380.952
2017,"Net Official Development Assistance (ODA) to infrastructure","","Definition differs","GBP (£ thousands)",775148.591
2017,"Net Official Development Assistance (ODA) to infrastructure","","Definition differs","Constant USD ($ thousands)",1095162.467
