"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Net Official Development Assistance (ODA) to infrastructure","LDCs","Definition differs","GBP (£ thousands)",67188.4794
2016,"Net Official Development Assistance (ODA) to infrastructure","LDCs","Definition differs","Constant USD ($ thousands)",96645.3972936375
2016,"Net Official Development Assistance (ODA) to infrastructure","LMICs","Definition differs","GBP (£ thousands)",130169.2008
2016,"Net Official Development Assistance (ODA) to infrastructure","LMICs","Definition differs","Constant USD ($ thousands)",187238.262259456
2016,"Net Official Development Assistance (ODA) to infrastructure","Other LICs","Definition differs","GBP (£ thousands)",19119.769
2016,"Net Official Development Assistance (ODA) to infrastructure","Other LICs","Definition differs","Constant USD ($ thousands)",27502.2993178139
2016,"Net Official Development Assistance (ODA) to infrastructure","UMICs","Definition differs","GBP (£ thousands)",53490.0695
2016,"Net Official Development Assistance (ODA) to infrastructure","UMICs","Definition differs","Constant USD ($ thousands)",76941.3010125629
2016,"Net Official Development Assistance (ODA) to infrastructure","Unspecified","Definition differs","GBP (£ thousands)",622466.5831
2016,"Net Official Development Assistance (ODA) to infrastructure","Unspecified","Definition differs","Constant USD ($ thousands)",895369.723543892
2016,"Net Official Development Assistance (ODA) to infrastructure","","Definition differs","GBP (£ thousands)",892434.1018
2016,"Net Official Development Assistance (ODA) to infrastructure","","Definition differs","Constant USD ($ thousands)",1283696.98342736
2017,"Net Official Development Assistance (ODA) to infrastructure","LDCs","Definition differs","GBP (£ thousands)",149255.7525947
2017,"Net Official Development Assistance (ODA) to infrastructure","LDCs","Definition differs","Constant USD ($ thousands)",210874.792467218
2017,"Net Official Development Assistance (ODA) to infrastructure","LMICs","Definition differs","GBP (£ thousands)",138192.301778
2017,"Net Official Development Assistance (ODA) to infrastructure","LMICs","Definition differs","Constant USD ($ thousands)",195243.884750863
2017,"Net Official Development Assistance (ODA) to infrastructure","Other LICs","Definition differs","GBP (£ thousands)",19978.2324462
2017,"Net Official Development Assistance (ODA) to infrastructure","Other LICs","Definition differs","Constant USD ($ thousands)",28226.0854118923
2017,"Net Official Development Assistance (ODA) to infrastructure","UMICs","Definition differs","GBP (£ thousands)",33575.4126437
2017,"Net Official Development Assistance (ODA) to infrastructure","UMICs","Definition differs","Constant USD ($ thousands)",47436.7523539784
2017,"Net Official Development Assistance (ODA) to infrastructure","Unspecified","Definition differs","GBP (£ thousands)",434146.8915989
2017,"Net Official Development Assistance (ODA) to infrastructure","Unspecified","Definition differs","Constant USD ($ thousands)",613380.952322885
2017,"Net Official Development Assistance (ODA) to infrastructure","","Definition differs","GBP (£ thousands)",775148.5910615
2017,"Net Official Development Assistance (ODA) to infrastructure","","Definition differs","Constant USD ($ thousands)",1095162.46730684
