"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Net Official Development Assistance (ODA) flows to developing countries","LDCs","Definition differs","GBP (£ thousands)",2353310.134
2016,"Net Official Development Assistance (ODA) flows to developing countries","LDCs","Definition differs","Constant USD ($ thousands)",3385053.434
2016,"Net Official Development Assistance (ODA) flows to developing countries","LMICs","Definition differs","GBP (£ thousands)",1404383.76
2016,"Net Official Development Assistance (ODA) flows to developing countries","LMICs","Definition differs","Constant USD ($ thousands)",2020096.713
2016,"Net Official Development Assistance (ODA) flows to developing countries","Other LICs","Definition differs","GBP (£ thousands)",238164.613
2016,"Net Official Development Assistance (ODA) flows to developing countries","Other LICs","Definition differs","Constant USD ($ thousands)",342581.256
2016,"Net Official Development Assistance (ODA) flows to developing countries","UMICs","Definition differs","GBP (£ thousands)",843721.909
2016,"Net Official Development Assistance (ODA) flows to developing countries","UMICs","Definition differs","Constant USD ($ thousands)",1213628.286
2016,"Net Official Development Assistance (ODA) flows to developing countries","Unspecified","Definition differs","GBP (£ thousands)",8537550.993
2016,"Net Official Development Assistance (ODA) flows to developing countries","Unspecified","Definition differs","Constant USD ($ thousands)",12280602.493
2016,"Net Official Development Assistance (ODA) flows to developing countries","","Definition differs","GBP (£ thousands)",13377131.409
2016,"Net Official Development Assistance (ODA) flows to developing countries","","Definition differs","Constant USD ($ thousands)",19241962.182
2017,"Net Official Development Assistance (ODA) flows to developing countries","LDCs","Definition differs","GBP (£ thousands)",2576907.445
2017,"Net Official Development Assistance (ODA) flows to developing countries","LDCs","Definition differs","Constant USD ($ thousands)",3640763.007
2017,"Net Official Development Assistance (ODA) flows to developing countries","LMICs","Definition differs","GBP (£ thousands)",1360910.305
2017,"Net Official Development Assistance (ODA) flows to developing countries","LMICs","Definition differs","Constant USD ($ thousands)",1922751.205
2017,"Net Official Development Assistance (ODA) flows to developing countries","Other LICs","Definition differs","GBP (£ thousands)",248712.635
2017,"Net Official Development Assistance (ODA) flows to developing countries","Other LICs","Definition differs","Constant USD ($ thousands)",351391.65
2017,"Net Official Development Assistance (ODA) flows to developing countries","UMICs","Definition differs","GBP (£ thousands)",693987.743
2017,"Net Official Development Assistance (ODA) flows to developing countries","UMICs","Definition differs","Constant USD ($ thousands)",980495.015
2017,"Net Official Development Assistance (ODA) flows to developing countries","Unspecified","Definition differs","GBP (£ thousands)",9170765.138
2017,"Net Official Development Assistance (ODA) flows to developing countries","Unspecified","Definition differs","Constant USD ($ thousands)",12956841.941
2017,"Net Official Development Assistance (ODA) flows to developing countries","","Definition differs","GBP (£ thousands)",14051283.266
2017,"Net Official Development Assistance (ODA) flows to developing countries","","Definition differs","Constant USD ($ thousands)",19852242.819
