"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Net ODA in support of clean energy research and development and renewable energy production","LDCs","Definition differs","GBP (£ thousands)",3826.452
2016,"Net ODA in support of clean energy research and development and renewable energy production","LDCs","Definition differs","Constant USD ($ thousands)",5504.053
2016,"Net ODA in support of clean energy research and development and renewable energy production","LMICs","Definition differs","GBP (£ thousands)",16370.102
2016,"Net ODA in support of clean energy research and development and renewable energy production","LMICs","Definition differs","Constant USD ($ thousands)",23547.118
2016,"Net ODA in support of clean energy research and development and renewable energy production","Other LICs","Definition differs","GBP (£ thousands)",815.713
2016,"Net ODA in support of clean energy research and development and renewable energy production","Other LICs","Definition differs","Constant USD ($ thousands)",1173.34
2016,"Net ODA in support of clean energy research and development and renewable energy production","UMICs","Definition differs","GBP (£ thousands)",6010.503
2016,"Net ODA in support of clean energy research and development and renewable energy production","UMICs","Definition differs","Constant USD ($ thousands)",8645.641
2016,"Net ODA in support of clean energy research and development and renewable energy production","Unspecified","Definition differs","GBP (£ thousands)",102782.94
2016,"Net ODA in support of clean energy research and development and renewable energy production","Unspecified","Definition differs","Constant USD ($ thousands)",147845.259
2016,"Net ODA in support of clean energy research and development and renewable energy production","","Definition differs","GBP (£ thousands)",129805.711
2016,"Net ODA in support of clean energy research and development and renewable energy production","","Definition differs","Constant USD ($ thousands)",186715.41
2017,"Net ODA in support of clean energy research and development and renewable energy production","LDCs","Definition differs","GBP (£ thousands)",10802.171
2017,"Net ODA in support of clean energy research and development and renewable energy production","LDCs","Definition differs","Constant USD ($ thousands)",15261.761
2017,"Net ODA in support of clean energy research and development and renewable energy production","LMICs","Definition differs","GBP (£ thousands)",11947.209
2017,"Net ODA in support of clean energy research and development and renewable energy production","LMICs","Definition differs","Constant USD ($ thousands)",16879.518
2017,"Net ODA in support of clean energy research and development and renewable energy production","Other LICs","Definition differs","GBP (£ thousands)",1794.834
2017,"Net ODA in support of clean energy research and development and renewable energy production","Other LICs","Definition differs","Constant USD ($ thousands)",2535.816
2017,"Net ODA in support of clean energy research and development and renewable energy production","UMICs","Definition differs","GBP (£ thousands)",1360.597
2017,"Net ODA in support of clean energy research and development and renewable energy production","UMICs","Definition differs","Constant USD ($ thousands)",1922.309
2017,"Net ODA in support of clean energy research and development and renewable energy production","Unspecified","Definition differs","GBP (£ thousands)",27850.832
2017,"Net ODA in support of clean energy research and development and renewable energy production","Unspecified","Definition differs","Constant USD ($ thousands)",39348.825
2017,"Net ODA in support of clean energy research and development and renewable energy production","","Definition differs","GBP (£ thousands)",53755.643
2017,"Net ODA in support of clean energy research and development and renewable energy production","","Definition differs","Constant USD ($ thousands)",75948.229
