"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LDCs","Normal value","GBP (£ thousands)",100842.437
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LDCs","Normal value","Constant USD ($ thousands)",145053.996
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LMICs","Normal value","GBP (£ thousands)",18903.35
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LMICs","Normal value","Constant USD ($ thousands)",27190.997
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Other LICs","Normal value","GBP (£ thousands)",3537.196
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Other LICs","Normal value","Constant USD ($ thousands)",5087.981
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","UMICs","Normal value","GBP (£ thousands)",10843.181
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","UMICs","Normal value","Constant USD ($ thousands)",15597.071
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Unspecified","Normal value","GBP (£ thousands)",36420.69
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Unspecified","Normal value","Constant USD ($ thousands)",52388.327
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","","Normal value","GBP (£ thousands)",170546.853
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","","Normal value","Constant USD ($ thousands)",245318.372
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LDCs","Normal value","GBP (£ thousands)",102733.674
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LDCs","Normal value","Constant USD ($ thousands)",145146.446
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LMICs","Normal value","GBP (£ thousands)",13759.702
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LMICs","Normal value","Constant USD ($ thousands)",19440.285
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Other LICs","Normal value","GBP (£ thousands)",4652.922
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Other LICs","Normal value","Constant USD ($ thousands)",6573.844
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","UMICs","Normal value","GBP (£ thousands)",3593.513
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","UMICs","Normal value","Constant USD ($ thousands)",5077.066
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Unspecified","Normal value","GBP (£ thousands)",52477.857
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Unspecified","Normal value","Constant USD ($ thousands)",74142.919
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","","Normal value","GBP (£ thousands)",177217.668
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","","Normal value","Constant USD ($ thousands)",250380.561
