"Year","Series","Country income classification","Observation status","Units","Value"
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LDCs","Normal value","GBP (£ thousands)",100842.4371
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LDCs","Normal value","Constant USD ($ thousands)",145053.995634676
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LMICs","Normal value","GBP (£ thousands)",18903.3498
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LMICs","Normal value","Constant USD ($ thousands)",27190.9971458828
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Other LICs","Normal value","GBP (£ thousands)",3537.1959
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Other LICs","Normal value","Constant USD ($ thousands)",5087.98094723551
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","UMICs","Normal value","GBP (£ thousands)",10843.1807
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","UMICs","Normal value","Constant USD ($ thousands)",15597.0713437251
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Unspecified","Normal value","GBP (£ thousands)",36420.6899
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Unspecified","Normal value","Constant USD ($ thousands)",52388.327232985
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","","Normal value","GBP (£ thousands)",170546.8534
2016,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","","Normal value","Constant USD ($ thousands)",245318.372304505
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LDCs","Normal value","GBP (£ thousands)",102733.6735919
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LDCs","Normal value","Constant USD ($ thousands)",145146.446428197
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LMICs","Normal value","GBP (£ thousands)",13759.702305
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","LMICs","Normal value","Constant USD ($ thousands)",19440.2849976358
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Other LICs","Normal value","GBP (£ thousands)",4652.922411
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Other LICs","Normal value","Constant USD ($ thousands)",6573.84409463984
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","UMICs","Normal value","GBP (£ thousands)",3593.512833
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","UMICs","Normal value","Constant USD ($ thousands)",5077.0657727672
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Unspecified","Normal value","GBP (£ thousands)",52477.8570764
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","Unspecified","Normal value","Constant USD ($ thousands)",74142.9193028179
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","","Normal value","GBP (£ thousands)",177217.6682173
2017,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries","","Normal value","Constant USD ($ thousands)",250380.560596058
