"Year","Technology","Observation status","Unit multiplier","Units","Value"
2000,"2G mobile network","Normal value","Units","Percentage(%)","99"
2001,"2G mobile network","Normal value","Units","Percentage(%)","99"
2002,"2G mobile network","Normal value","Units","Percentage(%)","99"
2003,"2G mobile network","Normal value","Units","Percentage(%)","99"
2004,"2G mobile network","Normal value","Units","Percentage(%)","99"
2005,"2G mobile network","Normal value","Units","Percentage(%)","99"
2006,"2G mobile network","Normal value","Units","Percentage(%)","99.8"
2007,"2G mobile network","Normal value","Units","Percentage(%)","99.8"
2008,"2G mobile network","Normal value","Units","Percentage(%)","99.8"
2009,"2G mobile network","Normal value","Units","Percentage(%)","99.8"
2010,"2G mobile network","Normal value","Units","Percentage(%)","99.8"
2011,"2G mobile network","Normal value","Units","Percentage(%)","99.7"
2012,"2G mobile network","Normal value","Units","Percentage(%)","99.6"
2013,"2G mobile network","Normal value","Units","Percentage(%)","99.7"
2014,"2G mobile network","Normal value","Units","Percentage(%)","99.7"
2015,"2G mobile network","Normal value","Units","Percentage(%)","99.6"
2016,"2G mobile network","Normal value","Units","Percentage(%)","99.6"
2017,"2G mobile network","Normal value","Units","Percentage(%)","99.8"
2018,"2G mobile network","Normal value","Units","Percentage(%)","99.9"
2019,"2G mobile network","Normal value","Units","Percentage(%)","99.9"
2020,"2G mobile network","Normal value","Units","Percentage(%)","99.9"
2021,"2G mobile network","Normal value","Units","Percentage(%)","99.9"
2008,"3G mobile network","Normal value","Units","Percentage(%)","90.00"
2009,"3G mobile network","Normal value","Units","Percentage(%)","93.00"
2010,"3G mobile network","Normal value","Units","Percentage(%)","95.00"
2011,"3G mobile network","Normal value","Units","Percentage(%)","99.10"
2012,"3G mobile network","Normal value","Units","Percentage(%)","99.10"
2013,"3G mobile network","Normal value","Units","Percentage(%)","99.20"
2014,"3G mobile network","Normal value","Units","Percentage(%)","99.30"
2015,"3G mobile network","Normal value","Units","Percentage(%)","99.60"
2016,"3G mobile network","Normal value","Units","Percentage(%)","99.60"
2017,"3G mobile network","Normal value","Units","Percentage(%)","99.60"
2018,"3G mobile network","Normal value","Units","Percentage(%)","99.70"
2019,"3G mobile network","Normal value","Units","Percentage(%)","99.70"
2020,"3G mobile network","Normal value","Units","Percentage(%)","99.90"
2021,"3G mobile network","Normal value","Units","Percentage(%)","99.90"
2012,"4G mobile network","Normal value","Units","Percentage(%)","43.00"
2013,"4G mobile network","Normal value","Units","Percentage(%)","70.00"
2014,"4G mobile network","Normal value","Units","Percentage(%)","80.00"
2015,"4G mobile network","Normal value","Units","Percentage(%)","97.80"
2016,"4G mobile network","Normal value","Units","Percentage(%)","98.50"
2017,"4G mobile network","Normal value","Units","Percentage(%)","99.30"
2018,"4G mobile network","Normal value","Units","Percentage(%)","99.70"
2019,"4G mobile network","Normal value","Units","Percentage(%)","99.70"
2020,"4G mobile network","Normal value","Units","Percentage(%)","99.90"
2021,"4G mobile network","Normal value","Units","Percentage(%)","99.90"
