"Year","Country","Sex","GeoCode","Observation status","Unit multiplier","Unit measure","Value"
"2020","","","K02000001","Normal value","Units","Rate per 1,000 live births","4.31194"
"2020","","Female","K02000001","Normal value","Units","Rate per 1,000 live births","3.58308"
"2020","","Male","K02000001","Normal value","Units","Rate per 1,000 live births","4.65291"
"2020","England and Wales","","K04000001","Normal value","Units","Rate per 1,000 live births","3.91243"
"2020","England","","E92000001","Normal value","Units","Rate per 1,000 live births","4.04334"
"2020","England","Female","E92000001","Normal value","Units","Rate per 1,000 live births","3.22363"
"2020","England","Male","E92000001","Normal value","Units","Rate per 1,000 live births","4.45181"
"2020","Northern Ireland","","N92000002","Missing value","Units","Rate per 1,000 live births",""
"2020","Northern Ireland","Female","N92000002","Missing value","Units","Rate per 1,000 live births",""
"2020","Northern Ireland","Male","N92000002","Missing value","Units","Rate per 1,000 live births",""
"2020","Scotland","","S92000003","Normal value","Units","Rate per 1,000 live births","3.89294"
"2020","Scotland","Female","S92000003","Normal value","Units","Rate per 1,000 live births","3.94442"
"2020","Scotland","Male","S92000003","Normal value","Units","Rate per 1,000 live births","3.57467"
"2020","Wales","","W92000004","Normal value","Units","Rate per 1,000 live births","4.67012"
"2020","Wales","Female","W92000004","Normal value","Units","Rate per 1,000 live births","3.81958"
"2020","Wales","Male","W92000004","Normal value","Units","Rate per 1,000 live births","5.44859"
