ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Facility type
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,0.00983,5792.97098,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0.0125,5792.971,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,2.64412,1558002.689,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,11.83261,1488487.04,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0.15,69515.652,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,97.17021,57255897.71,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,87.94239,11062746,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,99.675,46193150.75,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,0.00984,5820.11923,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0.0125,5820.1195,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,2.63244,1556409.468,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,11.83261,1486568.028,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0.15,69841.434,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,97.18194,57458116.42,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,87.94239,11048483.5,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,99.675,46409632.89,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,0.00988,5861.95675,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0.0125,5861.957,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,2.59786,1541211.831,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,11.83261,1470868.408,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0.15,70343.484,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,97.21667,57675044.82,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,87.94239,10931800.66,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,99.675,46743245.12,Sewer
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,0.00992,5906.93017,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,0,0,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0.0125,5906.93,Improved latrine and other
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,2.56374,1527002.217,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,11.83261,1456119.065,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0.15,70883.16,Septic tank
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,97.25093,57924040.29,Sewer
