ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,1.38898,818432.33104,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,5.96491,750358.64969,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0.14689,68073.68234,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,0.69417,409028.4674,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,0.30023,37767.00012,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0.8011,371261.45943,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,97.74101,57592232.57282,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,93.50986,11763107.39206,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,98.88951,45829124.23338,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,0.17584,103610.62992,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,0.225,28303.95825,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0.1625,75308.623,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,1.38316,817783.96914,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,5.96491,749391.25983,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0.14689,68392.70662,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,0.69467,410719.66937,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,0.30023,37718.30952,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0.8011,373001.35968,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,97.74638,57791842.36465,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,93.50986,11747941.96303,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,98.88951,46043900.37834,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,0.17578,103929.99802,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,0.225,28267.46775,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0.1625,75661.5535,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,1.36594,810361.26284,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,5.96491,741476.95138,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0.14689,68884.34255,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,0.69615,413002.61407,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,0.30023,37319.96709,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0.8011,375682.65246,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,97.76231,57998754.7246,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,93.50986,11623872.14616,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,98.88951,46374883.56212,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2002,0.17559,104173.3979,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2002,0.225,27968.9355,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2002,0.1625,76205.441,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,1.34895,803454.50542,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,5.96491,734041.68522,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0.14689,69412.824,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,0.69762,415510.6299,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,0.30023,36945.73578,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0.8011,378564.894,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,97.77802,58237984.30313,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,93.50986,11507312.10612,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,98.88951,46730672.19012,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2003,0.17541,104478.56275,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2003,0.225,27688.473,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2003,0.1625,76790.09,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,1.33208,797552.32976,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,5.96491,727521.61593,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,0.14689,70030.69593,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,0.69907,418552.22911,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,0.30023,36617.5681,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,0.8011,381934.65496,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,97.79362,58551741.23002,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,93.50986,11405099.28384,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,98.88951,47146641.0172,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2004,0.17523,104914.2111,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2004,0.225,27442.53225,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2004,0.1625,77473.63,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,1.31544,793051.31792,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,5.96491,722281.73663,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,0.14689,70769.59815,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,0.7005,422318.32941,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,0.30023,36353.83486,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,0.8011,385964.493,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,97.80901,58967046.40809,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,93.50986,11322955.54764,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,98.88951,47644090.84342,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2005,0.17505,105535.94458,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2005,0.225,27244.881,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2005,0.1625,78291.0635,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,1.29892,790018.22728,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,5.96491,718368.81224,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,0.14689,71649.45461,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,0.70192,426919.93919,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,0.30023,36156.88982,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,0.8011,390763.06979,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,97.82428,59498046.16872,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,93.50986,11261614.01481,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,98.88951,48236435.04166,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2006,0.17488,106363.66299,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2006,0.225,27097.28325,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2006,0.1625,79264.432,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2007,1.27175,781554.91412,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2007,5.95478,714375.09804,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2007,0.13583,67179.80946,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2007,0.70333,432230.66707,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2007,0.30023,36017.0507,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2007,0.8011,396213.61649,Limited service
