ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2000,100,12579537,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2000,100,46343768,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,1.38898,818432.331,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,5.96491,750358.6497,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0.14689,68073.68234,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2000,0,0,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,0.69417,409028.4674,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,0.30023,37767.00012,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0.8011,371261.4594,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2000,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2000,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2000,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0,0,Open defecation
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,97.74101,57592232.57,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,93.50986,11763107.39,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,98.88951,45829124.23,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2000,100,58923305.94,Safely managed service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2000,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2000,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2000,0,0,Surface water
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2000,0.17584,103610.6299,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2000,0.225,28303.95825,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2000,0.1625,75308.623,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2000,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2000,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2000,0,0,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2001,100,12563319,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Drinking water,2001,100,46560956,At least basic
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,1.38316,817783.9691,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,5.96491,749391.2598,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0.14689,68392.70662,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2001,0,0,Basic service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Sanitation,2001,0.69467,410719.6694,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Sanitation,2001,0.30023,37718.30952,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,urban,Sanitation,2001,0.8011,373001.3597,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2001,0,0,Limited service
GBR,United Kingdom of Great Britain and Northern Ireland,rural,Drinking water,2001,0,0,Limited service
