"YEAR","Country","woodland_area","certified_area","Geocode","AREALHECT"
2013,"Scotland",1.410663363995,0.80369838131,"S92000003",7790146.81
2013,"Northern Ireland",0.111016,0.06468292,"N92000002",1379295.06
2013,"UK",3.126309947774,1.363561439289,"",24274142.93
2014,"England",1.30191313700811,0.349241315738382,"E92000001",13031049.28
2014,"Wales",0.305831974278852,0.141120850999219,"W92000004",2073651.78
2014,"Scotland",1.42425454488654,0.821768830913029,"S92000003",7790146.81
2014,"Northern Ireland",0.111463,0.064839,"N92000002",1379295.06
2014,"UK",3.1434626561735,1.37696999765063,"",24274142.93
2015,"England",1.30503824003618,0.355674838235883,"E92000001",13031049.28
2015,"Wales",0.30599435,0.14136183,"W92000004",2073651.78
2015,"Scotland",1.43163934,0.81332763,"S92000003",7790146.81
2015,"Northern Ireland",0.111912,0.065121,"N92000002",1379295.06
2015,"UK",3.15458393003618,1.37548529823588,"",24274142.93
2016,"England",1.30528081164134,0.337187794317571,"E92000001",13031049.28
2016,"Wales",0.306595017913138,0.141220578781927,"W92000004",2073651.78
2016,"Scotland",1.43501765475517,0.806343759401523,"S92000003",7790146.81
2016,"Northern Ireland",0.112087,0.06526134,"N92000002",1379295.06
2016,"UK",3.15898048430964,1.35001347250102,"",24274142.93
2017,"England",1.30617424851177,0.33687915565857,"E92000001",13031049.28
2017,"Wales",0.307667491626159,0.145103438127691,"W92000004",2073651.78
2017,"Scotland",1.43765614875745,0.840705384699358,"S92000003",7790146.81
2017,"Northern Ireland",0.112378,0.06534486,"N92000002",1379295.06
2017,"UK",3.16387588889538,1.38803283848562,"",24274142.93
2018,"England",1.3074834495674,0.332161351028375,"E92000001",13031049.28
2018,"Wales",0.308540621776247,0.144758835617136,"W92000004",2073651.78
2018,"Scotland",1.44593642863721,0.832856182947572,"S92000003",7790146.81
2018,"Northern Ireland",0.112617,0.0653447498926778,"N92000002",1379295.06
2018,"UK",3.17457749998086,1.37512111948576,"",24274142.93
2019,"England",1.31588657347571,0.324876329557504,"E92000001",13031049.28
2019,"Wales",0.309924843428992,0.146323334439097,"W92000004",2073651.78
2019,"Scotland",1.45947837768079,0.864806215153229,"S92000003",7790146.81
2019,"Northern Ireland",0.113005,0.06551241,"N92000002",1379295.06
2019,"UK",3.19829479458548,1.40151828914983,"",24274142.93
2020,"England",1.31825480752336,0.323330428106438,"E92000001",13031049.28
2020,"Wales",0.310017490985564,0.145923989201245,"W92000004",2073651.78
2020,"Scotland",1.46886475414996,0.861695363990637,"S92000003",7790146.81
2020,"Northern Ireland",0.118381,0.0656498047440069,"N92000002",1379295.06
2020,"UK",3.21551805265889,1.39659958604233,"",24274142.93
2021,"England",1.32043322764036,0.31644877057402,"E92000001",13031049.28
2021,"Wales",0.310309420985564,0.144681026029756,"W92000004",2073651.78
2021,"Scotland",1.47952176214996,0.886073858136326,"S92000003",7790146.81
2021,"Northern Ireland",0.118506,0.06540216,"N92000002",1379295.06
2021,"UK",3.22877041077589,1.4126058147401,"",24274142.93
