"YEAR","Country","woodland_area","certified_area","Geocode","AREALHECT"
1998,"England",1.24124083,NA,"E92000001",13031049.28
1998,"Wales",0.298628796408325,NA,"W92000004",2073651.78
1998,"Scotland",1.29910857423727,NA,"S92000003",7790146.81
1998,"Northern Ireland",0.081,NA,"N92000002",1379295.06
1998,"UK",2.9199782006456,NA,"",24274142.93
1999,"England",1.24601264226143,NA,"E92000001",13031049.28
1999,"Wales",0.29918795000998,NA,"W92000004",2073651.78
1999,"Scotland",1.30937867055651,NA,"S92000003",7790146.81
1999,"Northern Ireland",0.082,NA,"N92000002",1379295.06
1999,"UK",2.93657926282792,NA,"",24274142.93
2000,"England",1.25153847183969,NA,"E92000001",13031049.28
2000,"Wales",0.299833480807219,NA,"W92000004",2073651.78
2000,"Scotland",1.31955452739861,NA,"S92000003",7790146.81
2000,"Northern Ireland",0.083,NA,"N92000002",1379295.06
2000,"UK",2.95392648004552,NA,"",24274142.93
2001,"England",1.25701110960229,0.289526737838312,"E92000001",13031049.28
2001,"Wales",0.300229936791194,0.124344119907584,"W92000004",2073651.78
2001,"Scotland",1.33105268190426,0.584718853806545,"S92000003",7790146.81
2001,"Northern Ireland",0.083,0.062472,"N92000002",1379295.06
2001,"UK",2.97129372829774,1.06106171155244,"",24274142.93
2002,"England",1.26198542403915,0.29657592549528,"E92000001",13031049.28
2002,"Wales",0.300500934305583,0.123941239917853,"W92000004",2073651.78
2002,"Scotland",1.33893439647487,0.592366399241095,"S92000003",7790146.81
2002,"Northern Ireland",0.084,0.062472,"N92000002",1379295.06
2002,"UK",2.9854207548196,1.07535556465423,"",24274142.93
2003,"England",1.26745152947351,NA,"E92000001",13031049.28
2003,"Wales",0.300910302798897,NA,"W92000004",2073651.78
2003,"Scotland",1.34554387810415,NA,"S92000003",7790146.81
2003,"Northern Ireland",0.085,NA,"N92000002",1379295.06
2003,"UK",2.99890571037655,NA,"",24274142.93
2004,"England",1.27174554858367,0.298262596889096,"E92000001",13031049.28
2004,"Wales",0.301287879195837,0.12665297993839,"W92000004",2073651.78
2004,"Scotland",1.35220636943932,0.669908888975446,"S92000003",7790146.81
2004,"Northern Ireland",0.0858,0.06512,"N92000002",1379295.06
2004,"UK",3.01103979721883,1.15994446580293,"",24274142.93
2005,"England",1.27669530146635,0.3437002328559,"E92000001",13031049.28
2005,"Wales",0.301804143875685,0.131240599948658,"W92000004",2073651.78
2005,"Scotland",1.35778428219202,0.718699235355579,"S92000003",7790146.81
2005,"Northern Ireland",0.08506,0.063451,"N92000002",1379295.06
2005,"UK",3.02134372753406,1.25709106816014,"",24274142.93
2006,"England",1.28008132695117,0.353577485987525,"E92000001",13031049.28
2006,"Wales",0.302276312115788,0.131131719958926,"W92000004",2073651.78
2006,"Scotland",1.36170095636303,0.724369890093225,"S92000003",7790146.81
2006,"Northern Ireland",0.08564,0.063431,"N92000002",1379295.06
2006,"UK",3.02969859543,1.27251009603968,"",24274142.93
2007,"England",1.28302034521453,0.36386246933528,"E92000001",13031049.28
2007,"Wales",0.302770726890754,0.132587846022689,"W92000004",2073651.78
2007,"Scotland",1.3681683248608,0.764313621433838,"S92000003",7790146.81
2007,"Northern Ireland",0.08684,0.0641564242911336,"N92000002",1379295.06
2007,"UK",3.04079939696609,1.32492036108294,"",24274142.93
2008,"England",1.28541438999663,0.345266077806291,"E92000001",13031049.28
2008,"Wales",0.302931179222796,0.129962571440275,"W92000004",2073651.78
2008,"Scotland",1.37227161361509,0.770012089355528,"S92000003",7790146.81
2008,"Northern Ireland",0.087355,0.0644388941040314,"N92000002",1379295.06
2008,"UK",3.04797218283452,1.30967963270612,"",24274142.93
2009,"England",1.28773797895272,0.352498070848647,"E92000001",13031049.28
2009,"Wales",0.303087956117025,0.133737889989732,"W92000004",2073651.78
2009,"Scotland",1.3756423592804,0.780754262330117,"S92000003",7790146.81
2009,"Northern Ireland",0.087677,0.0650595,"N92000002",1379295.06
2009,"UK",3.05414529435014,1.3320497231685,"",24274142.93
2010,"England",1.289853,0.35716973,"E92000001",13031049.28
2010,"Wales",0.30326928,0.1334736,"W92000004",2073651.78
2010,"Scotland",1.378304,0.7924653,"S92000003",7790146.81
2010,"Northern Ireland",0.087812,0.0641495,"N92000002",1379295.06
2010,"UK",3.05923828,1.34725813,"",24274142.93
2011,"England",1.292385,0.33521863,"E92000001",13031049.28
2011,"Wales",0.303566,0.133604,"W92000004",2073651.78
2011,"Scotland",1.383406,0.791775,"S92000003",7790146.81
2011,"Northern Ireland",0.087957,0.0634555,"N92000002",1379295.06
2011,"UK",3.067314,1.32405313,"",24274142.93
2012,"England",1.29768432,0.35497371,"E92000001",13031049.28
2012,"Wales",0.30456394,0.13829493,"W92000004",2073651.78
2012,"Scotland",1.40302642,0.80773675,"S92000003",7790146.81
2012,"Northern Ireland",0.105218,0.0645545,"N92000002",1379295.06
2012,"UK",3.11049268,1.36555989,"",24274142.93
2013,"England",1.298224190199,0.354739172379,"E92000001",13031049.28
2013,"Wales",0.30640639358,0.1404409656,"W92000004",2073651.78
